id,conversation_id,7b_int,13b_int,7bnonchat_int,13bnonchat_int,llama3_chat_int,llama3_nonchat_int
58899,77,4,4,3,2,3,3
58900,77,3,3,1,0,2,2
58901,77,4,4,0,2,1,0
58902,77,3,3,0,0,0,0
58903,77,4,4,1,2,3,0
58904,77,3,3,4,2,1,4
58905,77,2,4,3,3,3,None
58906,77,3,3,2,3,2,2
58907,77,1,2,0,0,1,3
58908,77,2,4,0,2,1,1
58909,77,3,3,3,2,3,3
58910,77,4,4,2,2,1,1
58911,77,4,3,4,0,3,0
58912,77,4,4,2,2,2,2
58913,77,3,3,0,3,3,None
58914,77,4,2,4,0,4,3
58915,77,3,3,3,2,3,2
58916,77,4,2,0,2,4,4
58917,77,3,3,0,2,3,4
58918,77,4,4,0,3,1,4
58919,77,4,3,2,3,3,1
58920,77,3,4,1,3,2,3
58921,77,4,3,0,0,3,0
58922,77,4,3,1,2,1,3
58923,77,3,4,3,3,3,3
58924,77,2,,3,1,4,2
58925,77,3,,0,2,3,0
58926,77,2,,3,2,1,2
58927,77,3,,1,2,3,3
58928,77,3,,1,3,4,3
58929,77,4,,1,3,3,3
58930,77,3,,1,2,1,3
58931,77,2,,0,1,3,4
58932,77,3,,1,3,2,2
58933,77,4,,3,0,1,0
58934,77,4,,2,1,3,3
58935,77,3,,0,1,1,4
58936,77,2,,0,0,3,4
58937,77,3,,0,0,4,0
58938,77,4,,0,0,2,3
58939,77,2,,2,1,1,3
58940,77,4,,0,3,3,1
58941,77,3,,1,2,1,2
58942,77,4,,3,3,3,3
58943,77,3,,0,0,1,1
58944,77,4,,0,2,3,3
58945,77,3,,0,2,1,2
58947,36,4,,1,1,2,1
58948,36,3,,3,1,3,3
58949,36,4,,1,2,1,1
58950,36,3,,2,3,2,2
58951,36,1,,0,3,1,3
58952,36,3,,0,0,2,3
58953,36,2,,0,2,3,1
58954,36,3,,3,2,1,1
58955,36,4,,0,2,3,2
58956,36,3,,4,2,4,2
58957,36,2,,0,2,3,2
58958,36,3,,0,2,1,2
58959,36,2,,0,1,3,2
58960,36,4,,0,3,1,1
58961,36,3,,3,3,3,4
58962,36,4,,1,3,4,1
58963,36,4,,2,2,1,1
58964,36,2,,0,1,3,1
58965,36,2,,0,3,1,0
58966,36,4,,1,3,3,3
58967,36,3,,0,3,4,3
58968,36,4,,0,2,3,2
58969,36,3,,1,1,1,0
58970,36,2,,3,2,3,4
58971,36,4,,1,2,1,1
58972,36,4,,0,2,3,2
58973,36,3,,3,2,1,3
58974,36,4,,3,2,3,4
58975,36,3,,0,2,1,0
58976,36,4,,3,1,3,1
58977,36,2,,1,3,1,1
58978,36,3,,4,0,3,3
58979,36,4,,2,2,4,2
58980,36,3,,0,2,2,3
58981,36,1,,2,2,3,1
58982,36,4,,0,1,2,1
58983,36,3,,0,2,1,2
58984,36,2,,3,3,3,1
58985,36,4,,0,2,1,1
58986,36,2,,4,2,3,2
58987,36,3,,3,1,1,3
58988,36,4,,1,0,3,0
58989,36,3,,3,2,1,4
58990,36,4,,0,2,3,2
58991,36,4,,3,3,4,3
58992,36,3,,0,0,3,2
58994,131,2,,0,3,1,2
58995,131,4,,1,2,1,2
58996,131,3,,1,3,0,1
58997,131,4,,0,2,3,3
58998,131,3,,0,1,4,2
58999,131,4,,2,2,3,2
59000,131,3,,0,1,3,0
59001,131,2,,0,3,2,0
59002,131,3,,1,2,1,4
59003,131,4,,0,2,3,3
59004,131,2,,1,3,1,3
59005,131,1,,0,2,3,1
59006,131,1,,3,2,4,4
59007,131,2,,1,3,3,1
59008,131,3,,2,0,1,3
59009,131,4,,2,3,3,2
59010,131,3,,1,2,1,1
59011,131,2,,3,3,3,0
59012,131,3,,1,1,1,2
59013,131,2,,3,1,3,2
59014,131,2,,1,3,4,2
59015,131,4,,1,0,3,1
59016,131,3,,0,2,1,3
59017,131,2,,3,2,3,2
59018,131,3,,3,1,2,1
59019,131,2,,4,3,3,3
59020,131,4,,2,3,1,1
59021,131,2,,2,2,3,4
59022,131,3,,1,2,1,3
59023,131,4,,2,2,3,1
59024,131,3,,0,2,4,0
59025,131,3,,0,2,3,1
59026,131,2,,0,2,1,1
59027,131,2,,0,2,1,3
59028,131,3,,4,1,3,1
59029,131,4,,1,1,4,1
59030,131,4,,3,2,3,2
59031,131,2,,2,2,1,3
59032,131,3,,1,1,3,1
59033,131,4,,1,3,2,2
59034,131,3,,2,2,1,2
59035,131,2,,0,2,1,3
59036,131,3,,0,1,3,0
59037,131,4,,0,2,4,3
59038,131,3,,0,2,1,3
59039,131,4,,0,2,3,0
59040,131,3,,3,2,1,2
59041,131,2,,0,2,3,2
59042,131,3,,0,2,1,1
59043,131,2,,0,1,1,1
59044,131,0,,3,2,1,2
59045,131,0,,0,1,3,4
59046,131,2,,3,0,4,1
59047,131,1,,3,2,1,3
59048,131,2,,1,2,1,2
59049,131,2,,2,1,3,2
59050,131,1,,0,2,1,1
59051,131,3,,0,3,3,4
59052,131,4,,0,1,1,2
59053,131,3,4,0,3,2,3
