,id,conversation_id,text,conv1,conv2,LCS,conv1_len,conv2_len,cos,human_int_mean,new_13bchat,new_7bchat,7b_int,13b_int,7bnonchat_int,13bnonchat_int,gpt4_int,mis_nonchat_int,mix_int
0,58405,92,student:   teacher: does it snow a lot in ukraine? i don't know ...    teacher: how often does it snow in ukraine? i'm not sure ...,,does it snow a lot in ukraine? i don't know ...,0,0,11,0,1.333333333,2,3,3,3,0,2,3,3,2
1,58407,92,student:   teacher: has he been to the usa? i don't know ...    teacher: has he visited the united states? i am uncertain ...,,has he been to the usa? i don't know ...,0,0,10,0,2.666666667,2,3,3,3,0,0,2,2,2
2,58410,92,"student:   teacher: ok <student>, excellent work today, i'll talk to you on friday!    teacher: good job today, <student>. i will speak with you on friday.",,"ok <>, excellent work today, i'll talk to you on friday!",0,0,11,0,2.333333333,2,3,3,3,1,0,3,None,3
3,35877,131,student: ! sure!  teacher: well done for learning all the new words :),! sure!,well done for learning all the new words ),0,2,9,0.638246991,1.666666667,2,3,3,,0,2,3,2,3
4,39257,103,"student: (*/*) i think i haven't  teacher: something to think about :) ok, <student>, well done today! have a nice day and i'll talk to you on thursday at `10 am",(*/*) i think i haven't,"something to think about ) ok, <>, well done today! have a nice day and i'll talk to you on thursday at `10 am",1,5,24,0.103185893,1.666666667,2,3,4,4,0,1,3,2,2
5,39106,134,"student: (for this particular case)  teacher: one second hope doesn't take a direct object which makes it an 'intransitive' verb i hope for the best we need 'for' here alternatively, we need a clause i hope that we will be able to avert climate change",(for this particular case),"one second hope doesn't take a direct object which makes it an 'intransitive' verb i hope for the best we need 'for' here alternatively, we need a clause i hope that we will be able to avert climate change",0,4,39,0.558050016,3.333333333,2,3,3,3,1,3,3,0,4
6,35938,127,"student: (i am still here, there was a connection problem so the chat thought there were two <students> logged in)  teacher: oh yes, it does that, i can see you had to re-enter a couple of times","(i am still here, there was a connection problem so the chat thought there were two <s> logged in)","oh yes, it does that, i can see you had to re-enter a couple of times",1,19,16,0.433606387,1.666666667,2,3,3,3,2,1,3,1,1
7,38342,258,"student: (i hope i'm not making up an expression) oh...okay  teacher: banks loan money yes, exactly, it would be clearer to say 'you can borrow it for a couple of days!'",(i hope i'm not making up an expression) oh...okay,"banks loan money yes, exactly, it would be clearer to say 'you can borrow it for a couple of days!'",0,9,20,0.16934284,1.333333333,2,3,4,3,1,1,3,0,2
8,36123,190,"student: (i just checked: you are right, but the closest italian word is a bit different, as it has lost the initial 'ex' sound and changed others) perfect, then i guess see you next week :) thank you for the lesson and have a nice day!  teacher: interesting! knowing romance languages has definitely given you a leg up in terms of english :) yes, talk to you next week! my pleasure, bye!","(i just checked you are right, but the closest italian word is a bit different, as it has lost the initial 'ex' sound and changed others) perfect, then i guess see you next week ) thank you for the lesson and have a nice day!","interesting! knowing romance languages has definitely given you a leg up in terms of english ) yes, talk to you next week! my pleasure, bye!",2,45,25,0.413692269,2.333333333,3,3,4,4,0,2,3,0,3
9,38250,253,"student: (if they release it openly) okay, let's look at speaking questions!  teacher: yes, <researcher> would be a better person to speak to about this than myself! it would be cool if i eventually end up working also on the data i contributed to generate i feel that 'also' is a bit out of place here. what would be a better place for it?","(if they release it openly) okay, let's look at speaking questions!","yes, <researcher> would be a better person to speak to about this than myself! it would be cool if i eventually end up working also on the data i contributed to generate i feel that 'also' is a bit out of place here. what would be a better place for it?",1,11,51,0.527088506,2,2,3,4,4,0,1,2,3,2
10,38261,253,"student: (maybe when you see an aerial view would be a better way to say 'look from a map')  teacher: what comes to your mind? yes, sure, because you mean 'look at its map', but an aerial view is a better expression!",(maybe when you see an aerial view would be a better way to say 'look from a map'),"what comes to your mind? yes, sure, because you mean 'look at its map', but an aerial view is a better expression!",3,18,22,0.683445148,2,2,3,4,3,0,0,4,2,3
11,38924,159,"student: )  teacher: anyway, you're absolutely right, this is to emphasise the information i do love tv shows, but this one is a bit silly",),"anyway, you're absolutely right, this is to emphasise the information i do love tv shows, but this one is a bit silly",0,1,22,0,2.333333333,2,3,3,4,1,0,3,0,2
12,36643,195,"student: )  teacher: ok, i'll send you the homework then! i hope you enjoy it, and we will speak again on monday!",),"ok, i'll send you the homework then! i hope you enjoy it, and we will speak again on monday!",0,1,19,0,1.333333333,2,3,2,4,0,3,3,1,2
13,36040,152,student: )  teacher: or even 'three times',),or even 'three times',0,1,4,0,1.666666667,2,3,3,4,0,1,2,9,1
14,36550,214,student: )  teacher: what's the underground fare these days?,),what's the underground fare these days?,0,1,6,0,1.333333333,2,3,3,3,0,3,1,0,2
15,64465,117,"student: ) i felt like i missed something important )))  teacher: well, they said it's 'because of covid' but what makes me angry is that they didn't call us to inform us, we called them!    teacher: well, they mentioned that it's due to covid. however, what frustrates me is the lack of communication on their part. we had to reach out to them for an update.",) i felt like i missed something important ))),"well, they said it's 'because of covid' but what makes me angry is that they didn't call us to inform us, we called them!",0,9,24,0.604448369,1.666666667,2,3,4,4,0,3,2,2,3
16,36330,212,"student: ) just browse?  teacher: it means you're looking at different things, maybe without buying anything and browse through a book / magazine = go through it quickly, without reading properly oh, and of course we browse the internet",) just browse?,"it means you're looking at different things, maybe without buying anything and browse through a book / magazine = go through it quickly, without reading properly oh, and of course we browse the internet",0,3,34,0.761397185,2.333333333,2,3,2,4,1,3,4,2,4
17,35824,131,"student: ) oh sorry neck and neck  teacher: yes, well done! :) i think just recently biden's made a good progress, so he is a little bit ahead now",) oh sorry neck and neck,"yes, well done! ) i think just recently biden's made a good progress, so he is a little bit ahead now",1,6,21,0.522073516,2.333333333,2,3,3,,3,2,3,3,3
