id,text,teacher_uptake_student,student_uptake_teacher
22313,"TEACHER:
    Hello <STUDENT>! STUDENT:
    Hi <TEACHER>!",,0.999087465
22314,"TEACHER:
    Hi - welcome to the chat
    How are you? And where are you in the world? STUDENT:
    Thank you! And thank you for letting me improve my English with this study!
    I am fine, thank you. Just a bit cold, it is getting cold here in Austria.
    I am Italian, but I moved to Graz last year.",0.998000399,0.938766082
22315,"TEACHER:
    Oh Austria, interesting!
    All the pastry and music :) STUDENT:
    Yes, it is a nice place to be :) And you? Are you from the UK?",0.986824436,0.627084832
22316,"TEACHER:
    I'm from Ukraine, but I've lived in the UK for the last few years
    Do you speak German as well? STUDENT:
    Oh, I see...so you also know what it means to leave your country. Even though I suspect you knew the language before reaching the Uk.
    I speak some German, but I am still working on it (the covid lockdown didn't help). I also speak Spanish to a decent level.",0.997536516,0.996570983
22317,"TEACHER:
    Yes, I was an English teacher and Cambridge examiner back in Ukraine. And yes, I know about the whole leaving far from home / making a new country your second home
    Amazing, you're a polyglot!
    I learned some German at university, but I'm a good few years out of practice and oh so rusty :) STUDENT:
    Sort of polyglot...but I enjoy learning languages. Well, you also speak many languages!
    I believe it is easy to get rusty with German: it is easy to forget about grammar and nouns' genders.",0.991618495,0.999184088
22318,"TEACHER:
    I don't really count German among them any more. Oh my, genders and cases basically broke me!
    Even though there are only three cases in German whereas my native Russian has six and Ukrainian 7. It didn't help! STUDENT:
    As an Italian I also have troubles with long words...I really believe English to be a lot easier...",0.994620759,0.893270873
22319,"TEACHER:
    Do nouns have genders in Italian?
    Oh yes, German's notorious for its long words, isn't it?
    Yes, I agree, there is a reason English took over the world STUDENT:
    Yes, only masculine and feminine...but, unlike with German, there are some simple rules to identify a noun's gender. That is, you mostly know by reading the last vowel.",0.998812817,0.999162717
22320,"TEACHER:
    Yes, very similar to Russian / Ukrainian. Basically, does it end in 'a' :) STUDENT:
    It is notorious...and, while these words are logical and organised, I don't see the point in having a single word to say 'bread with pumpkin's seeds'",0.874278215,0.24682751
22321,"TEACHER:
    Haha, I see your point!!
    But I like that German is a bit like Lego. Once you've learned the most common roots, you can guess the meaning of many words STUDENT:
    Indeed that is true...and I also find it more 'precise' than Italian. Don't get me wrong: you can be precise with Italian, but in German it is as if the language is ingrained with some rules that force you to be precise.",0.929362146,0.985416656
22322,"TEACHER:
    Hmm, that's an interesting observation. Would you say English and German have that in common? STUDENT:
    While I find English more 'practical' when talking about technical things...both because most technical terms are in English and because it has a somewhat simplified grammar with respect to Italian.
    I would say English is a bit more on the practical side, German on the precision side. But I'd say English is closed to German in this.",0.995912189,0.997608407
