,603e8ed1b54e6cf4fafcaa1a_comparison,603e8ed1b54e6cf4fafcaa1a_int,603e8ed1b54e6cf4fafcaa1a_expint,conversation_id,message_len,5eecf91f87fdd30e01f700b8_comparison,5eecf91f87fdd30e01f700b8_int,5eecf91f87fdd30e01f700b8_expint,5c4c747aa123930001ac124f_comparison,5c4c747aa123930001ac124f_int,5c4c747aa123930001ac124f_expint,doccano_id
0,0,0,0,777,1,1,0,0,0,2,3,58887
1,0,1,3,777,40,1,4,4,1,1,3,58888
2,1,1,1,777,44,0,2,2,1,0,4,58889
3,0,1,2,777,8,0,2,2,1,1,3,58890
4,0,3,1,777,8,1,2,0,0,0,4,58891
5,0,2,2,777,18,1,3,2,0,2,2,58892
6,0,3,2,777,72,1,3,1,1,1,2,58893
7,0,1,3,777,109,1,0,3,1,0,4,58894
8,0,2,3,777,39,1,2,3,1,1,3,58895
9,0,3,3,777,31,1,2,2,0,1,3,58896
10,0,2,2,777,11,0,0,4,0,3,3,58897
11,0,3,0,077,2,0,0,0,0,2,3,58899
12,0,2,3,077,14,1,0,1,0,1,4,58900
13,0,3,3,077,7,1,2,2,0,3,3,58901
14,0,2,3,077,21,1,1,1,0,2,3,58902
15,0,3,3,077,17,0,3,2,0,3,2,58903
16,0,3,3,077,42,0,3,3,1,2,3,58904
17,0,3,3,077,44,0,2,2,0,3,3,58905
18,0,3,2,077,21,0,3,3,0,2,1,58906
19,0,3,3,077,4,1,3,3,0,3,1,58907
20,0,1,2,077,8,1,1,2,0,3,2,58908
21,1,3,2,077,26,0,4,2,0,1,3,58909
22,0,2,3,077,15,0,2,2,0,3,2,58910
23,0,3,3,077,10,0,3,3,0,4,1,58911
24,0,3,3,077,13,1,2,2,0,3,1,58912
25,1,4,3,077,150,1,1,4,0,4,1,58913
26,0,4,3,077,16,0,2,2,0,4,1,58914
27,0,3,3,077,42,0,2,2,0,4,1,58915
28,1,4,3,077,15,0,3,3,1,3,1,58916
29,1,2,3,077,101,1,0,3,0,3,2,58917
30,1,2,2,077,3,1,0,0,0,3,2,58918
31,1,2,2,077,5,0,3,1,0,3,2,58919
32,0,4,3,077,9,1,2,2,0,3,2,58920
33,1,3,3,077,25,0,2,3,0,3,1,58921
34,0,2,2,077,2,0,1,1,0,2,2,58922
35,1,3,3,077,8,0,1,1,0,3,1,58923
36,0,2,3,077,14,0,2,3,0,3,1,58924
37,0,4,3,077,15,0,0,0,1,3,1,58925
38,0,3,3,077,14,0,2,2,0,3,1,58926
39,0,3,3,077,17,0,1,3,0,4,1,58927
40,1,3,2,077,7,0,2,1,0,3,1,58928
41,1,3,3,077,26,0,3,3,0,4,1,58929
42,0,4,3,077,11,0,2,1,0,4,1,58930
43,1,4,3,077,16,0,4,2,0,3,1,58931
44,0,3,3,077,25,1,3,3,0,3,1,58932
45,1,2,2,077,14,1,3,3,1,3,1,58933
46,1,3,3,077,56,0,1,3,1,3,2,58934
47,0,2,3,077,5,0,0,1,0,3,2,58935
48,0,3,3,077,8,1,2,2,0,3,1,58936
49,1,4,3,077,112,1,1,3,0,4,1,58937
50,0,2,2,077,1,0,2,0,0,3,1,58938
51,0,2,2,077,1,1,1,0,0,3,1,58939
52,0,3,3,077,13,0,2,2,0,3,1,58940
53,1,3,2,077,61,0,4,4,1,4,1,58941
54,1,2,2,077,108,1,2,3,0,3,1,58942
55,1,2,2,077,12,1,2,2,0,3,1,58943
56,1,3,3,077,14,0,3,2,0,4,2,58944
57,0,3,2,077,1,1,3,1,1,2,2,58945
58,0,2,3,036,2,1,0,0,0,2,2,58947
59,1,2,2,036,11,1,1,1,0,3,4,58948
60,1,2,2,036,11,1,0,3,0,2,1,58949
61,1,3,3,036,23,0,1,2,0,3,2,58950
62,1,3,2,036,13,1,2,2,1,3,2,58951
63,0,3,3,036,25,1,2,2,0,3,3,58952
64,0,3,3,036,21,1,3,2,0,3,2,58953
65,1,2,3,036,23,0,0,2,1,2,3,58954
66,1,3,3,036,11,1,1,1,0,3,3,58955
67,1,4,3,036,49,1,2,2,0,4,2,58956
68,0,3,3,036,7,1,2,2,0,3,2,58957
69,1,3,3,036,38,1,1,1,1,3,1,58958
70,1,3,3,036,21,0,1,1,1,3,3,58959
71,0,2,3,036,10,1,1,1,0,3,3,58960
72,1,3,4,036,10,0,0,1,0,4,3,58961
73,1,3,3,036,4,0,3,1,1,3,1,58962
74,1,2,2,036,9,1,0,1,1,2,2,58963
75,0,2,3,036,12,1,0,0,1,2,2,58964
76,1,4,3,036,8,1,1,1,0,3,2,58965
77,0,3,3,036,18,0,1,1,0,4,2,58966
78,1,4,3,036,11,1,0,1,0,3,2,58967
79,1,4,3,036,9,1,1,1,1,3,2,58968
80,1,1,2,036,22,1,0,2,0,3,2,58969
81,1,1,3,036,45,0,0,2,1,3,2,58970
82,1,3,4,036,39,0,2,2,1,3,3,58971
83,1,3,3,036,17,1,1,1,0,2,1,58972
84,1,2,3,036,17,0,1,1,0,2,1,58973
85,0,3,3,036,12,1,2,2,0,3,1,58974
86,1,2,3,036,40,1,1,1,0,3,1,58975
87,1,2,3,036,9,1,4,1,1,3,1,58976
88,1,2,3,036,1,1,1,1,1,2,2,58977
89,0,3,3,036,4,1,4,0,0,2,1,58978
90,1,3,3,036,45,1,0,3,1,2,2,58979
91,1,3,3,036,3,1,3,1,1,2,1,58980
92,0,4,3,036,5,0,2,1,0,3,1,58981
93,1,3,3,036,9,0,1,2,0,3,1,58982
94,1,3,3,036,6,0,2,2,0,4,1,58983
95,1,3,3,036,13,0,1,2,1,3,2,58984
96,0,4,4,036,15,1,3,3,0,3,2,58985
97,1,3,3,036,18,1,4,2,0,3,2,58986
98,1,4,4,036,16,0,3,1,0,3,2,58987
99,1,3,3,036,8,1,2,2,0,3,1,58988
100,1,2,4,036,19,1,1,2,0,2,1,58989
101,1,4,4,036,20,1,2,2,0,3,1,58990
102,0,4,4,036,4,1,1,1,0,3,1,58991
103,0,3,4,036,22,0,3,3,0,4,1,58992
104,1,2,3,131,2,1,1,1,1,3,2,58994
105,1,3,3,131,6,1,2,2,1,1,4,58995
106,1,3,4,131,9,1,3,3,1,2,3,58996
107,0,3,3,131,8,1,2,2,0,2,3,58997
108,0,4,3,131,10,1,2,2,0,2,3,58998
109,1,3,3,131,13,0,3,4,0,2,2,58999
110,1,2,2,131,12,0,2,2,1,2,3,59000
111,1,3,3,131,10,0,3,2,1,2,2,59001
112,0,3,2,131,9,1,3,2,1,2,2,59002
113,0,3,3,131,7,0,2,2,0,3,1,59003
114,0,4,2,131,3,1,3,2,0,2,4,59004
115,0,3,3,131,6,1,0,0,0,3,1,59005
116,0,3,3,131,11,1,0,0,0,3,1,59006
117,1,3,2,131,21,1,3,3,0,3,1,59007
118,1,4,3,131,11,1,2,2,0,3,2,59008
119,1,3,3,131,12,0,2,2,0,2,3,59009
120,1,3,4,131,14,0,0,2,1,2,0,59010
121,0,3,3,131,17,1,1,1,0,3,3,59011
122,0,3,3,131,3,1,1,1,0,2,1,59012
123,1,3,3,131,14,1,1,1,0,2,1,59013
124,1,3,3,131,14,1,2,2,0,2,0,59014
125,1,2,2,131,9,1,2,2,1,2,0,59015
126,1,3,3,131,5,1,3,3,0,2,1,59016
127,1,3,3,131,5,0,4,2,0,3,1,59017
128,1,3,3,131,1,0,3,1,0,2,2,59018
129,1,2,2,131,15,1,1,0,0,3,1,59019
130,1,3,2,131,1,1,1,1,0,2,1,59020
131,1,2,2,131,9,0,2,1,1,2,1,59021
