,611a9f9591ef82d19cfc5db1_comparison,611a9f9591ef82d19cfc5db1_int,611a9f9591ef82d19cfc5db1_expint,conversation_id,message_len,5ecfc4e722413102e68160ba_comparison,5ecfc4e722413102e68160ba_int,5ecfc4e722413102e68160ba_expint,5ef0b54037a90c618ad9e97f_comparison,5ef0b54037a90c618ad9e97f_int,5ef0b54037a90c618ad9e97f_expint,doccano_id
0,1,1,0,777,1,1,1,1,1,2,1,59227
1,1,2,3,777,40,0,1,1,1,3,3,59228
2,1,3,2,777,44,1,4,4,1,3,2,59229
3,1,2,2,777,8,0,1,2,0,4,2,59230
4,0,2,2,777,8,1,1,1,1,3,2,59231
5,0,2,2,777,18,1,1,2,1,4,3,59232
6,0,3,2,777,72,1,2,3,1,3,2,59233
7,1,1,1,777,109,1,3,3,1,4,2,59234
8,1,1,1,777,39,0,3,3,0,3,2,59235
9,1,1,1,777,31,1,4,3,0,3,3,59236
10,1,0,1,777,11,1,2,2,0,4,3,59237
11,0,3,3,127,1,1,1,2,0,3,0,59239
12,1,4,4,127,4,1,2,3,1,3,2,59240
13,0,4,3,127,21,0,3,4,0,4,2,59241
14,0,4,3,127,21,1,4,4,0,4,4,59242
15,1,3,3,127,17,1,3,2,1,3,2,59243
16,0,4,2,127,10,1,3,2,0,3,4,59244
17,0,4,2,127,18,0,2,1,0,3,2,59245
18,1,3,2,127,9,1,3,1,1,3,3,59246
19,1,4,2,127,36,1,2,1,0,2,3,59247
20,1,3,2,127,15,0,1,3,0,4,4,59248
21,0,2,2,127,35,0,3,1,0,3,4,59249
22,1,3,2,127,20,1,1,2,1,2,0,59250
23,1,2,2,127,39,1,2,0,0,3,3,59251
24,1,4,3,127,97,0,4,4,0,4,3,59252
25,1,4,2,127,21,0,0,1,1,1,0,59253
26,0,2,2,127,9,1,2,2,0,3,2,59254
27,0,2,2,127,51,0,3,2,1,3,1,59255
28,0,4,2,127,24,0,2,1,0,3,3,59256
29,0,3,2,127,2,1,2,1,1,1,3,59257
30,1,3,2,127,21,1,1,1,1,2,4,59258
31,0,3,3,127,13,1,2,3,0,4,2,59259
32,0,2,1,127,12,1,1,3,0,3,1,59260
33,0,1,1,127,1,0,0,0,1,4,3,59261
34,0,2,1,127,1,0,1,2,0,2,2,59262
35,1,3,3,127,27,1,3,1,1,2,2,59263
36,1,4,4,127,14,1,1,0,1,3,2,59264
37,1,4,4,127,31,0,2,1,1,3,2,59265
38,1,3,2,127,6,1,1,1,1,2,3,59266
39,0,3,2,127,19,1,1,3,0,2,2,59267
40,1,3,2,127,8,1,1,2,1,2,3,59268
41,0,4,2,127,16,0,1,3,0,3,2,59269
42,1,3,2,127,10,1,2,1,1,2,3,59270
43,1,3,2,127,32,1,1,2,1,3,2,59271
44,1,4,4,127,11,1,3,1,1,3,2,59272
45,0,3,3,127,9,1,1,3,0,3,3,59273
46,1,3,2,127,25,0,3,2,0,3,3,59274
47,0,4,2,127,25,0,2,3,1,2,3,59275
48,1,3,2,127,1,0,1,0,1,1,2,59276
49,0,3,3,127,12,0,1,2,1,3,2,59277
50,1,3,2,127,17,0,1,3,0,3,4,59278
51,0,4,2,127,1,1,3,1,0,4,3,59279
52,0,3,3,127,37,1,1,3,1,3,2,59280
53,0,3,3,127,9,0,1,0,0,3,2,59281
54,0,4,3,127,1,0,1,0,0,3,1,59282
55,0,4,3,219,2,0,0,0,1,1,2,59284
56,0,3,2,219,5,1,1,1,0,3,2,59285
57,1,3,2,219,20,1,1,2,0,3,3,59286
58,1,3,2,219,43,1,3,4,0,3,2,59287
59,1,2,2,219,28,1,1,3,0,4,2,59288
60,0,2,1,219,34,1,3,3,1,1,1,59289
61,1,3,2,219,26,1,2,3,0,4,3,59290
62,1,2,1,219,14,1,1,2,1,2,3,59291
63,0,4,3,219,18,1,3,1,0,3,2,59292
64,1,2,2,219,8,0,4,1,1,2,4,59293
65,0,3,3,219,12,1,2,3,0,3,3,59294
66,0,4,2,219,2,1,3,2,0,2,4,59295
67,1,3,2,219,16,1,2,1,1,0,0,59296
68,0,3,3,219,26,1,4,2,0,4,2,59297
69,0,1,1,219,2,1,1,1,0,2,2,59298
70,1,2,1,219,15,1,2,2,0,3,4,59299
71,0,1,1,219,3,1,2,3,1,2,3,59300
72,1,1,1,219,11,1,2,3,1,3,2,59301
73,1,3,2,219,19,1,2,2,0,3,4,59302
74,0,2,2,219,9,1,1,3,0,2,4,59303
75,0,3,2,219,35,1,3,3,1,3,3,59304
76,0,3,2,219,22,1,2,3,1,2,3,59305
77,1,3,2,219,38,1,3,4,0,2,2,59306
78,1,1,2,219,23,1,2,4,1,3,4,59307
79,0,2,2,219,8,1,4,3,0,3,4,59308
80,1,2,1,219,35,1,4,3,0,4,4,59309
81,1,1,1,219,14,1,3,3,1,2,2,59310
82,1,1,1,219,4,1,2,2,0,3,3,59311
83,1,1,1,219,16,0,2,1,0,4,4,59312
84,1,1,1,219,20,1,2,3,1,3,3,59313
85,1,1,1,219,4,1,3,2,0,3,2,59314
86,1,3,3,219,25,1,2,0,0,4,2,59315
87,1,2,3,219,17,1,3,2,1,2,3,59316
88,1,2,3,219,26,1,3,0,1,3,3,59317
89,0,3,3,219,7,0,1,0,0,4,3,59318
90,0,2,3,030,5,1,2,1,0,0,3,59320
91,0,1,3,030,4,1,2,3,0,3,3,59321
92,1,3,3,030,8,1,2,2,0,3,2,59322
93,0,2,3,030,21,1,2,3,0,3,3,59323
94,1,3,3,030,10,1,1,3,1,2,2,59324
95,0,4,3,030,35,0,4,4,0,3,2,59325
96,1,3,2,030,22,1,4,3,1,4,4,59326
97,1,4,3,030,17,1,3,1,0,3,3,59327
98,0,4,3,030,9,1,3,1,1,2,3,59328
99,0,2,2,030,12,1,3,4,1,4,4,59329
100,1,1,2,030,24,1,3,2,1,3,4,59330
101,0,1,1,030,9,1,4,3,1,3,3,59331
102,0,2,2,030,25,1,4,2,0,4,2,59332
103,0,3,2,030,16,1,4,2,0,3,2,59333
104,1,3,2,030,10,1,3,1,1,3,3,59334
105,1,1,3,030,8,1,2,3,1,3,1,59335
106,0,2,2,030,7,1,4,2,0,2,3,59336
107,0,4,3,030,14,1,3,1,1,3,1,59337
108,1,2,2,030,12,1,3,2,1,4,3,59338
109,1,1,1,030,14,1,3,3,1,3,2,59339
110,1,2,3,030,11,1,3,3,1,3,3,59340
111,1,1,2,030,3,0,1,2,1,2,3,59341
112,0,1,1,030,1,1,2,3,0,0,2,59342
113,1,2,2,030,32,1,3,2,1,3,3,59343
114,0,1,1,030,1,1,2,3,0,4,2,59344
115,1,4,3,030,37,1,3,3,0,4,3,59345
116,1,2,2,030,12,1,3,2,1,3,2,59346
117,1,1,1,030,8,1,2,2,1,1,2,59347
118,1,1,1,030,3,1,1,0,1,3,3,59348
119,0,1,1,030,1,0,2,0,0,3,3,59349
120,1,1,1,030,3,1,1,0,1,2,2,59350
121,1,2,2,030,22,0,3,2,1,4,3,59351
122,1,1,1,030,18,1,2,1,1,2,0,59352
123,1,1,1,030,27,1,3,3,1,3,3,59353
124,0,2,1,030,14,1,3,2,1,3,1,59354
125,1,1,2,030,20,1,4,2,0,3,0,59355
126,1,3,2,030,16,1,1,2,1,4,3,59356
127,1,2,2,030,30,1,3,1,1,3,2,59357
128,1,3,2,030,20,1,1,3,0,3,2,59358
