,612a87998958706392797405_int,612a87998958706392797405_expint,conversation_id,message_len,5de585e4040f535067ca331e_int,5de585e4040f535067ca331e_expint,5ef3efcb420ab11a45a0b8a6_int,5ef3efcb420ab11a45a0b8a6_expint,doccano_id
0,1,3,118,2,0,0,0,1,22313
1,4,4,118,40,2,2,2,2,22314
2,3,3,118,16,1,1,1,1,22315
3,4,4,118,49,1,2,3,2,22316
4,4,4,118,33,1,0,3,3,22317
5,2,2,118,18,1,1,3,3,22318
6,4,1,118,28,1,0,1,1,22319
7,4,4,118,26,2,1,1,1,22320
8,4,3,118,42,1,2,2,2,22321
9,4,4,118,57,2,1,1,1,22322
10,2,2,118,7,1,1,3,3,22323
11,2,2,118,15,0,0,2,1,22324
12,1,1,118,9,0,0,1,0,22325
13,2,1,118,17,0,0,1,0,22326
14,1,1,118,9,0,1,1,0,22327
15,3,3,118,55,1,1,2,2,22328
16,4,3,118,28,0,0,3,3,22329
17,4,4,118,34,1,2,1,0,22330
18,4,4,118,25,0,0,1,0,22331
19,2,2,118,10,0,0,2,2,22332
20,2,1,118,6,0,0,1,1,22333
21,3,3,118,29,0,1,3,3,22334
22,4,3,118,13,0,0,2,2,22335
23,4,4,118,31,0,0,1,1,22336
24,4,2,118,33,1,0,1,1,22337
25,1,1,118,15,0,1,3,1,22338
26,1,1,118,13,0,0,3,3,22339
27,3,2,118,20,0,1,2,3,22340
28,3,2,118,10,1,1,2,1,22341
29,4,4,118,34,2,2,1,1,22342
30,4,4,118,77,2,2,1,2,22343
31,4,4,118,59,1,1,3,2,22344
32,3,2,118,22,1,1,2,1,22345
33,2,3,118,16,1,1,2,1,22346
34,4,3,118,24,1,0,2,1,22347
35,4,3,118,24,1,1,3,3,22348
36,4,3,118,25,1,1,1,2,22349
37,3,2,118,13,0,0,3,2,22350
38,4,3,118,26,0,0,2,1,22351
39,1,0,118,3,0,0,3,1,22352
40,2,3,064,6,0,0,0,2,22354
41,1,2,064,23,1,1,2,1,22355
42,4,4,064,53,1,2,2,1,22356
43,1,2,064,8,0,1,2,0,22357
44,3,3,064,13,0,1,1,0,22358
45,4,4,064,21,0,0,2,2,22359
46,1,3,064,4,0,1,2,0,22360
47,4,4,064,26,0,0,1,0,22361
48,4,4,064,35,0,1,1,2,22362
49,4,3,064,31,0,0,1,1,22363
50,1,2,064,4,0,1,0,1,22364
51,0,1,064,4,0,0,0,0,22365
52,2,3,064,15,1,1,3,1,22366
53,4,3,064,92,2,1,3,3,22367
54,4,3,064,69,1,2,3,3,22368
55,3,2,064,15,1,1,2,2,22369
56,4,3,064,100,0,1,3,3,22370
57,0,1,064,3,0,0,0,0,22371
58,3,2,064,30,1,1,1,1,22372
59,1,2,064,5,0,0,1,1,22373
60,2,3,064,30,1,2,1,1,22374
61,3,3,064,26,1,1,1,2,22375
62,0,2,064,5,0,1,1,2,22376
63,2,3,064,41,1,1,2,2,22377
