,611ccab657532350bc9b78ee_int,611ccab657532350bc9b78ee_expint,conversation_id,message_len,5eea650223990c15b6063ea8_int,5eea650223990c15b6063ea8_expint,605f811bc336749dd9dddd1b_int,605f811bc336749dd9dddd1b_expint,doccano_id
0,3,0,219,5,2,2,2,2,35683
1,4,1,219,13,2,3,1,3,35684
2,0,0,219,9,2,2,3,3,35685
3,2,2,219,35,2,2,3,2,35686
4,2,1,219,43,1,2,3,2,35687
5,1,0,219,9,1,2,3,3,35688
6,1,1,219,12,3,2,2,3,35689
7,3,2,219,37,2,2,2,2,35690
8,3,3,219,22,2,2,3,3,35691
9,4,3,219,50,3,2,3,3,35692
10,3,3,219,43,2,2,3,3,35693
11,1,1,219,4,1,1,2,2,35694
12,0,0,219,12,1,2,3,3,35695
13,1,0,219,22,3,2,2,2,35696
14,2,1,219,50,3,2,3,3,35697
15,0,0,219,13,3,2,3,2,35698
16,2,1,219,6,3,2,3,2,35699
17,4,4,219,57,2,2,3,2,35700
18,1,1,219,10,1,3,4,4,35701
19,0,0,219,7,1,2,3,2,35702
20,2,2,219,53,1,2,3,3,35703
21,2,3,219,25,2,2,3,3,35704
22,1,3,219,74,1,1,3,3,35705
23,1,1,219,53,2,1,3,3,35706
24,0,0,219,18,1,2,4,3,35707
25,1,0,219,23,1,2,2,2,35708
26,2,1,219,25,1,1,3,2,35709
27,0,0,219,3,0,1,3,2,35710
28,2,3,219,22,1,1,3,3,35711
29,2,1,219,22,1,2,2,2,35712
30,0,0,219,2,0,1,3,3,35713
31,0,2,219,49,0,1,4,3,35714
32,3,2,219,56,1,1,2,2,35715
33,2,2,219,25,2,1,4,4,35716
34,0,0,077,2,1,1,1,1,35718
35,0,0,077,19,2,1,2,2,35719
36,0,0,077,4,2,2,2,1,35720
37,0,1,077,10,2,3,3,3,35721
38,2,3,077,10,2,3,3,3,35722
39,1,1,077,19,2,2,4,4,35723
40,1,1,077,7,2,2,2,2,35724
41,0,2,077,10,2,2,3,2,35725
42,0,0,077,2,1,2,1,1,35726
43,2,2,077,18,3,2,4,4,35727
44,0,1,077,9,1,2,3,2,35728
45,1,1,077,16,2,2,3,3,35729
46,2,2,077,17,2,2,4,4,35730
47,1,0,077,1,1,2,4,4,35731
48,2,1,077,5,3,3,2,1,35732
49,2,2,077,14,2,2,3,2,35733
50,3,2,077,14,3,3,3,2,35734
51,0,0,077,2,1,2,1,1,35735
52,0,1,077,3,2,2,1,1,35736
53,4,3,077,22,2,3,3,3,35737
54,3,2,077,15,3,2,3,3,35738
55,3,2,077,13,3,2,3,3,35739
56,0,0,077,2,1,2,1,1,35740
57,0,0,077,5,2,2,2,2,35741
58,1,0,077,8,1,2,2,2,35742
59,3,3,077,13,3,2,3,3,35743
60,3,2,077,9,2,2,3,3,35744
61,2,2,077,3,1,2,2,2,35745
62,2,2,077,18,3,2,3,3,35746
63,3,3,077,11,3,2,2,2,35747
64,3,3,077,10,3,3,3,3,35748
65,1,1,077,22,3,2,3,3,35749
66,1,1,077,19,2,2,3,3,35750
67,1,1,077,11,2,2,3,3,35751
68,0,0,077,4,1,2,1,1,35752
69,0,0,077,1,1,2,1,1,35753
70,0,0,077,3,1,2,2,2,35754
71,1,0,077,1,1,2,4,3,35755
72,1,0,077,7,2,2,2,2,35756
73,1,0,077,7,1,2,3,2,35757
74,2,0,077,9,2,2,2,3,35758
75,1,1,077,12,2,2,3,3,35759
76,1,1,077,6,2,2,2,2,35760
77,2,1,077,8,2,2,3,2,35761
78,1,1,077,7,2,2,3,3,35762
79,0,0,077,3,1,1,4,4,35763
80,1,1,030,2,1,2,3,2,35765
81,3,2,030,14,2,2,0,1,35766
82,1,2,030,6,3,2,3,2,35767
83,1,0,030,1,2,3,0,1,35768
84,1,1,030,7,2,3,3,2,35769
85,1,0,030,5,1,2,3,3,35770
86,2,1,030,25,2,2,3,2,35771
87,2,1,030,51,3,2,3,3,35772
88,2,1,030,3,1,2,3,2,35773
89,1,0,030,7,2,2,3,3,35774
90,2,1,030,7,2,2,2,2,35775
91,2,2,030,28,2,2,2,2,35776
92,1,1,030,35,2,2,3,3,35777
93,1,1,030,20,2,2,2,3,35778
94,0,0,030,1,1,2,1,1,35779
95,1,1,030,13,2,2,3,3,35780
96,0,0,030,2,2,2,3,2,35781
97,0,0,030,7,1,2,3,3,35782
98,1,1,030,4,2,2,3,3,35783
99,1,1,030,4,1,2,3,2,35784
100,0,0,030,2,1,2,4,3,35785
101,0,0,030,2,1,2,3,3,35786
102,0,0,030,2,1,2,3,3,35787
103,1,1,030,1,1,2,3,3,35788
104,3,2,030,8,2,2,3,3,35789
105,2,2,030,27,3,3,4,4,35790
106,1,1,030,17,2,2,3,3,35791
107,0,0,030,2,1,1,3,3,35792
108,0,0,030,2,1,1,3,3,35793
109,0,0,030,2,1,1,3,3,35794
110,1,1,030,21,2,2,4,4,35795
111,0,0,030,1,1,2,1,1,35796
112,0,0,030,2,2,2,2,2,35797
113,0,0,030,3,1,2,2,3,35798
114,0,0,030,2,1,2,2,2,35799
115,1,1,030,10,2,2,3,3,35800
116,1,1,030,5,2,2,3,4,35801
117,1,1,030,5,2,2,3,3,35802
118,0,0,030,2,1,2,2,2,35803
119,1,1,030,1,2,2,2,2,35804
120,2,2,030,21,2,2,3,4,35805
121,0,0,030,2,1,2,2,2,35806
122,1,1,030,10,2,2,3,3,35807
123,1,1,030,17,2,2,3,3,35808
124,1,2,030,8,2,2,2,2,35809
125,2,2,030,22,3,2,1,1,35810
126,3,2,030,19,2,2,3,3,35811
127,3,3,030,41,3,2,3,3,35812
128,2,1,030,46,3,2,4,4,35813
129,1,0,131,5,1,2,3,3,35815
130,0,0,131,4,1,1,2,3,35816
131,1,0,131,7,2,2,3,3,35817
132,2,1,131,23,2,2,4,4,35818
133,1,0,131,11,2,2,4,3,35819
134,1,1,131,5,2,2,3,3,35820
135,3,2,131,12,3,2,1,2,35821
136,1,1,131,22,2,2,3,2,35822
137,0,0,131,23,2,2,3,3,35823
138,2,2,131,21,2,2,3,3,35824
