,610a9f8ba0cf35614ecb2a8d_int,610a9f8ba0cf35614ecb2a8d_expint,conversation_id,message_len,5ec3b9e83f187802a6aa041e_int,5ec3b9e83f187802a6aa041e_expint,61693c754827d0e35885a4ea_int,61693c754827d0e35885a4ea_expint,doccano_id
0,1,2,152,5,1,3,1,2,35972
1,1,3,152,14,2,3,1,1,35973
2,2,2,152,5,3,4,1,1,35974
3,1,1,152,11,2,3,1,1,35975
4,0,1,152,3,3,3,1,1,35976
5,1,1,152,14,2,2,2,1,35977
6,1,2,152,14,2,2,2,1,35978
7,3,3,152,25,2,2,1,2,35979
8,2,3,152,10,2,2,1,1,35980
9,3,2,152,7,2,2,1,1,35981
10,1,2,152,15,3,3,2,1,35982
11,3,2,152,28,3,4,3,2,35983
12,2,3,152,16,3,4,1,1,35984
13,1,2,152,4,2,3,1,1,35985
14,2,3,152,13,1,3,1,1,35986
15,1,2,152,3,3,3,1,2,35987
16,3,3,152,12,2,3,4,2,35988
17,2,3,152,14,2,3,2,2,35989
18,2,3,152,18,3,4,3,2,35990
19,1,2,152,2,1,2,1,1,35991
20,3,2,152,10,4,4,2,2,35992
21,1,2,152,19,2,3,1,2,35993
22,3,2,152,27,1,2,4,2,35994
23,1,2,152,6,2,2,1,2,35995
24,1,3,152,11,0,1,2,3,35996
25,3,2,152,18,2,2,1,2,35997
26,1,3,152,4,1,3,1,1,35998
27,1,2,152,5,4,4,1,2,35999
28,2,2,152,12,4,3,2,1,36000
29,3,2,152,19,4,4,3,2,36001
30,0,1,152,3,2,3,2,2,36002
31,1,2,152,11,3,3,3,3,36003
32,1,3,152,14,2,2,2,2,36004
33,0,2,152,4,2,3,1,2,36005
34,1,2,152,11,1,2,1,2,36006
35,1,3,152,12,1,2,2,1,36007
36,1,2,152,25,1,1,1,1,36008
37,1,1,152,12,1,1,1,2,36009
38,2,3,152,7,3,3,1,1,36010
39,0,1,152,9,1,3,2,1,36011
40,2,3,152,30,3,3,1,1,36012
41,3,2,152,15,2,2,1,1,36013
42,0,2,152,2,2,2,1,1,36014
43,1,2,152,14,4,3,2,1,36015
44,1,2,152,195,3,4,1,1,36016
45,1,2,152,13,3,3,1,1,36017
46,2,3,152,15,4,4,1,1,36018
47,2,2,152,27,4,4,2,2,36019
48,1,2,152,18,3,4,1,1,36020
49,0,2,152,3,4,4,1,2,36021
