,5f325435f0fc671a7434cabe_comparison,5f325435f0fc671a7434cabe_int,5f325435f0fc671a7434cabe_expint,conversation_id,message_len,5ed22618dd85e700082b5de0_comparison,5ed22618dd85e700082b5de0_int,5ed22618dd85e700082b5de0_expint,5fb7e27bfec8e14167bddfef_comparison,5fb7e27bfec8e14167bddfef_int,5fb7e27bfec8e14167bddfef_expint,doccano_id
0,0,0,2,257,2,1,1,1,0,2,1,66311
1,0,2,2,257,15,1,0,1,0,4,4,66312
2,1,3,1,257,17,1,2,2,1,3,2,66313
3,1,0,2,257,12,0,3,3,1,2,2,66314
4,0,1,2,257,6,1,4,4,0,0,1,66315
5,0,3,3,257,21,0,4,4,0,2,3,66316
6,1,2,2,257,9,0,4,4,0,2,1,66317
7,0,3,3,257,21,1,4,4,0,2,2,66318
8,0,0,1,257,3,0,3,3,0,1,1,66319
9,0,0,1,257,2,0,3,3,0,1,0,66320
10,1,3,2,257,23,0,2,2,0,2,1,66321
11,0,3,3,257,6,0,4,4,0,3,3,66322
12,0,3,2,257,31,0,3,3,0,2,1,66323
13,0,4,3,257,53,1,2,2,0,3,2,66324
14,0,2,2,257,22,0,2,2,0,1,2,66325
15,0,1,1,257,11,0,3,3,0,2,2,66326
16,0,1,2,257,5,0,3,3,0,1,2,66327
17,0,3,2,257,6,0,3,3,0,3,3,66328
18,1,4,4,257,44,1,2,3,0,2,3,66329
19,1,1,1,257,12,0,3,3,0,3,4,66330
20,0,3,3,257,29,1,4,4,0,3,4,66331
21,0,4,3,257,98,1,3,3,0,2,3,66332
22,1,4,2,257,26,0,4,4,0,2,2,66333
23,1,1,1,257,14,0,3,3,0,3,2,66334
24,0,0,1,257,88,0,4,4,0,2,2,66335
25,1,4,3,257,37,0,4,4,0,4,3,66336
26,1,1,2,257,71,0,4,4,0,3,3,66337
27,0,3,2,257,22,0,4,4,0,1,2,66338
28,0,0,0,257,2,0,4,4,0,2,2,66339
29,0,2,2,257,25,0,3,3,0,3,2,66340
30,1,3,3,257,44,0,3,3,0,3,2,66341
31,0,3,3,257,100,0,4,4,0,3,2,66342
32,0,1,1,257,12,0,4,4,0,2,2,66343
33,0,4,4,257,22,1,3,3,0,2,1,66344
34,1,2,2,257,5,0,4,4,0,3,2,66345
35,1,1,1,257,7,1,4,4,0,1,2,66346
36,0,0,0,257,3,1,4,4,0,2,2,66347
37,0,0,0,257,34,0,4,4,0,2,1,66348
38,1,2,2,257,18,0,4,4,0,2,1,66349
39,0,1,1,257,19,1,4,4,0,4,3,66350
40,0,0,0,257,7,1,4,4,0,4,4,66351
41,1,3,2,190,10,1,2,2,1,2,2,66353
42,0,0,0,190,7,1,3,3,1,2,2,66354
43,1,1,1,190,11,1,3,3,0,2,3,66355
44,1,1,1,190,20,0,3,3,0,3,3,66356
45,1,4,4,190,16,1,3,3,0,3,3,66357
46,1,3,3,190,36,1,3,3,0,2,2,66358
47,1,2,2,190,38,1,3,3,0,2,2,66359
48,0,3,3,190,24,0,3,3,0,3,3,66360
49,1,3,3,190,18,1,3,3,0,2,2,66361
50,1,3,3,190,18,1,3,3,0,3,2,66362
51,1,2,2,190,25,0,3,3,0,1,2,66363
52,1,1,1,190,25,1,3,3,0,3,2,66364
53,1,1,2,190,25,0,3,3,0,2,2,66365
54,0,0,0,190,4,0,2,2,0,2,2,66366
55,0,1,0,190,8,1,2,2,0,3,3,66367
56,1,2,2,190,17,1,3,3,0,3,3,66368
57,1,4,4,190,13,0,4,4,0,3,4,66369
58,1,3,3,190,17,0,3,3,0,3,3,66370
59,1,3,4,190,8,0,4,4,0,3,3,66371
60,0,2,2,190,27,1,3,3,0,2,2,66372
61,1,2,2,190,5,1,3,3,0,3,3,66373
62,1,3,2,190,7,0,4,4,0,2,2,66374
63,1,2,2,190,15,0,3,3,0,2,2,66375
64,1,3,3,190,31,0,3,3,0,3,3,66376
65,1,4,4,190,31,1,3,3,0,2,2,66377
66,1,2,2,190,8,0,3,3,0,3,2,66378
67,0,4,4,190,48,0,3,3,1,3,3,66379
68,1,4,4,190,23,0,3,3,0,3,3,66380
69,1,4,4,190,10,1,3,3,0,3,2,66381
70,0,4,4,190,41,0,3,3,0,3,3,66382
71,1,3,3,190,20,1,3,3,0,3,3,66383
72,1,1,1,190,14,0,3,3,1,3,2,66384
73,1,1,1,190,19,0,3,3,0,2,2,66385
74,0,0,0,190,13,0,3,3,0,3,2,66386
75,0,2,2,190,7,0,3,3,0,3,2,66387
76,0,0,0,190,12,0,3,3,0,3,2,66388
77,1,1,1,190,50,0,3,3,0,3,3,66389
78,0,0,0,190,10,0,4,4,0,3,2,66390
79,0,0,0,119,3,0,3,3,0,1,2,66392
80,0,0,0,119,12,0,4,3,1,1,1,66393
81,0,1,1,119,14,0,3,3,1,2,2,66394
82,0,2,2,119,14,1,3,3,1,2,2,66395
83,1,3,3,119,15,0,2,2,0,2,2,66396
84,0,2,1,119,4,0,2,2,0,2,2,66397
85,1,3,3,119,27,0,2,2,0,1,2,66398
