,5edab4e9750d97142796d0fa_comparison,5edab4e9750d97142796d0fa_int,5edab4e9750d97142796d0fa_expint,conversation_id,message_len,5d7f460632ee8a0018dc7502_comparison,5d7f460632ee8a0018dc7502_int,5d7f460632ee8a0018dc7502_expint,5de00d05988d7c0877eaa15a_comparison,5de00d05988d7c0877eaa15a_int,5de00d05988d7c0877eaa15a_expint,doccano_id
0,1,2,3,777,1,1,1,2,1,2,1,66095
1,0,4,2,777,40,1,4,4,1,2,2,66096
2,1,2,2,777,44,0,4,3,0,3,2,66097
3,0,1,1,777,8,0,3,3,0,3,3,66098
4,1,2,1,777,8,1,2,2,1,2,2,66099
5,1,2,2,777,18,1,3,3,1,2,2,66100
6,1,2,3,777,72,1,3,3,1,2,2,66101
7,0,3,3,777,109,1,3,3,1,3,2,66102
8,0,2,3,777,39,1,1,1,1,3,3,66103
9,0,3,3,777,31,1,3,3,1,2,3,66104
10,1,2,2,777,11,1,2,2,1,1,2,66105
11,1,2,1,012,8,0,1,1,1,3,3,66107
12,0,2,1,012,11,1,4,4,1,2,2,66108
13,0,3,2,012,16,0,4,4,1,3,3,66109
14,0,2,2,012,13,0,3,4,1,3,2,66110
15,1,2,2,012,10,1,3,3,1,4,3,66111
16,0,1,2,012,14,1,4,4,1,3,3,66112
17,0,2,2,012,13,1,4,4,1,2,2,66113
18,0,2,3,012,30,0,4,4,0,2,2,66114
19,0,3,2,012,43,1,3,3,1,3,2,66115
20,1,2,2,012,36,1,4,3,1,2,3,66116
21,0,1,2,012,17,1,2,3,1,3,2,66117
22,0,3,3,012,18,1,3,3,0,2,2,66118
23,1,3,3,012,28,0,4,4,1,3,2,66119
24,0,3,3,012,21,1,3,4,1,3,3,66120
25,1,3,3,012,10,1,3,3,0,3,2,66121
26,0,2,2,012,5,1,2,2,1,3,3,66122
27,1,3,2,012,28,1,2,2,1,3,2,66123
28,0,3,3,012,6,1,1,2,0,3,2,66124
29,0,3,3,012,20,0,3,3,0,3,2,66125
30,1,2,2,012,18,0,3,3,1,2,3,66126
31,1,3,3,012,41,1,3,3,1,2,2,66127
32,1,2,2,012,17,1,3,3,1,3,3,66128
33,1,3,3,012,19,1,3,3,0,2,3,66129
34,1,3,3,012,34,1,2,3,1,2,3,66130
35,0,2,2,012,38,0,3,4,0,3,2,66131
36,1,3,4,012,4,1,3,3,0,2,2,66132
37,0,2,2,012,19,1,4,4,1,3,2,66133
38,0,3,4,012,83,1,2,3,1,4,3,66134
39,1,3,3,012,47,1,4,4,0,2,2,66135
40,1,2,2,012,67,1,4,4,1,3,3,66136
41,1,3,3,012,65,1,4,4,1,2,2,66137
42,1,2,3,012,60,0,4,4,1,2,2,66138
43,1,3,3,012,20,1,3,4,0,3,3,66139
44,0,3,3,012,12,1,2,2,1,4,4,66140
45,0,3,2,012,12,1,4,3,1,3,2,66141
46,0,1,2,080,14,1,3,3,1,3,2,66143
47,0,2,1,080,12,1,2,2,0,3,3,66144
48,1,2,1,080,6,1,2,2,1,3,3,66145
49,0,1,1,080,12,1,3,3,1,3,2,66146
50,1,1,1,080,7,1,2,3,1,4,3,66147
51,1,2,2,080,4,1,3,3,0,3,4,66148
52,1,1,1,080,9,1,3,2,1,3,3,66149
53,0,2,1,080,15,1,0,1,0,3,2,66150
54,0,1,1,080,10,1,0,1,0,3,2,66151
55,1,3,3,080,16,1,1,1,1,3,2,66152
56,0,2,2,080,9,0,1,1,0,2,2,66153
57,1,2,3,080,16,1,4,4,0,3,2,66154
58,1,3,3,080,31,1,2,2,0,2,2,66155
59,0,1,1,080,12,1,1,1,0,2,2,66156
60,0,1,1,080,12,1,0,0,1,2,1,66157
61,0,1,1,080,12,1,0,0,1,2,2,66158
62,0,1,0,080,12,0,0,0,0,1,2,66159
63,0,1,2,080,3,0,0,0,0,2,3,66160
64,0,2,2,080,3,0,1,1,0,3,2,66161
65,1,1,1,080,12,1,0,0,0,2,2,66162
66,1,1,2,080,5,1,0,0,1,2,2,66163
67,1,1,2,080,14,1,3,3,0,2,2,66164
68,0,2,1,080,12,1,0,0,0,2,2,66165
69,0,2,2,080,12,1,0,0,0,2,3,66166
70,1,2,2,080,3,1,0,1,0,3,2,66167
71,0,1,1,080,12,1,1,1,0,2,3,66168
72,0,1,1,080,12,1,0,1,0,3,3,66169
73,1,1,1,080,4,1,1,1,0,3,2,66170
74,1,2,2,080,9,1,1,1,0,3,3,66171
75,1,2,1,080,13,1,3,3,0,3,2,66172
76,1,3,3,080,10,1,3,3,0,2,2,66173
77,1,2,4,080,16,1,3,3,1,2,2,66174
78,0,2,2,080,9,0,3,3,0,2,2,66175
79,0,2,3,080,12,1,0,0,0,2,3,66176
80,0,2,2,080,12,0,0,0,1,3,2,66177
81,0,2,2,080,6,1,2,3,0,3,2,66178
82,1,2,1,080,7,1,0,1,0,3,3,66179
83,0,2,2,080,12,1,0,0,1,4,4,66180
84,1,2,3,080,1,0,0,0,0,2,2,66181
85,1,1,2,080,7,1,1,1,0,2,2,66182
86,0,2,2,080,7,1,3,3,1,2,2,66183
87,0,1,1,080,12,1,0,0,0,3,2,66184
88,1,2,3,080,11,1,1,1,1,3,2,66185
89,1,2,3,080,12,1,0,0,0,4,3,66186
90,0,2,3,080,12,1,0,0,1,3,3,66187
91,0,3,3,080,4,1,1,1,0,3,3,66188
92,0,2,3,080,12,1,0,0,0,3,3,66189
93,1,2,3,080,20,0,2,2,0,3,2,66190
