,607d3fb81fd7a5c65619ed88_int,607d3fb81fd7a5c65619ed88_expint,conversation_id,message_len,60056b8b5db9c8774719d1a8_int,60056b8b5db9c8774719d1a8_expint,6101885b0f3e7fdafc8fd5d1_int,6101885b0f3e7fdafc8fd5d1_expint,doccano_id
0,0,0,212,8,0,0,0,0,36289
1,0,1,212,9,2,1,1,1,36290
2,2,3,212,32,3,4,3,3,36291
3,1,2,212,5,3,0,1,1,36292
4,3,3,212,22,2,0,2,2,36293
5,2,3,212,23,3,1,1,2,36294
6,0,3,212,2,3,1,1,1,36295
7,3,4,212,18,2,1,3,3,36296
8,1,3,212,8,3,0,1,1,36297
9,1,3,212,16,3,1,1,1,36298
10,3,3,212,10,3,1,1,2,36299
11,1,3,212,7,3,2,2,1,36300
12,1,3,212,14,1,0,1,1,36301
13,2,3,212,31,4,3,1,2,36302
14,1,3,212,13,2,4,1,2,36303
15,0,3,212,5,4,3,1,1,36304
16,3,4,212,29,1,1,1,1,36305
17,1,2,212,21,2,1,1,1,36306
18,2,4,212,18,2,2,1,1,36307
19,2,3,212,6,3,2,1,1,36308
20,3,4,212,22,3,3,1,1,36309
21,4,4,212,25,1,1,1,4,36310
22,3,3,212,17,2,4,4,4,36311
23,3,3,212,28,3,3,4,4,36312
24,3,3,212,23,1,3,2,2,36313
25,2,3,212,35,3,2,1,1,36314
26,2,3,212,14,1,2,1,1,36315
27,1,3,212,3,2,1,1,1,36316
28,4,4,212,47,2,4,1,1,36317
29,3,4,212,15,2,4,1,1,36318
30,0,3,212,2,1,1,1,1,36319
31,1,3,212,9,2,1,1,1,36320
32,2,3,212,11,2,2,1,1,36321
33,0,3,212,3,2,1,1,1,36322
34,1,3,212,11,1,1,1,1,36323
35,1,3,212,17,2,2,1,1,36324
36,0,3,212,4,1,1,1,1,36325
37,1,1,212,1,1,2,1,1,36326
38,1,2,212,9,2,1,1,1,36327
39,1,2,212,6,2,2,1,1,36328
40,2,2,212,17,2,3,1,1,36329
41,4,3,212,34,2,2,1,1,36330
42,4,4,212,79,2,4,1,2,36331
43,3,3,212,36,3,3,1,1,36332
44,1,2,212,3,4,1,1,1,36333
45,1,1,212,10,2,2,2,2,36334
46,2,3,212,26,3,3,2,2,36335
47,2,2,212,18,2,3,1,1,36336
48,1,1,212,12,2,1,2,2,36337
49,3,4,212,38,4,4,2,2,36338
50,1,1,212,4,1,1,2,1,36339
51,0,2,249,2,1,2,1,1,36341
52,4,4,249,35,2,2,3,2,36342
53,2,3,249,16,4,2,1,1,36343
54,1,2,249,14,2,2,2,2,36344
