,5df97fcd11d8796fd29e85e3_int,5df97fcd11d8796fd29e85e3_expint,conversation_id,message_len,61126cd00f29b7c648dca793_int,61126cd00f29b7c648dca793_expint,60ef4642202c8520a37e19b5_int,60ef4642202c8520a37e19b5_expint,doccano_id
0,2,2,132,3,1,2,1,2,38147
1,2,1,132,9,4,1,2,3,38148
2,3,2,132,2,0,1,0,1,38149
3,4,0,132,10,3,3,3,2,38150
4,3,2,132,9,1,0,2,1,38151
5,2,1,132,11,0,1,3,2,38152
6,3,2,132,18,2,2,2,2,38153
7,1,0,132,20,1,3,4,2,38154
8,1,1,132,9,2,1,1,2,38155
9,2,0,132,31,3,3,2,1,38156
10,1,0,132,15,3,1,1,1,38157
11,2,1,132,37,2,3,3,1,38158
12,2,1,132,24,1,2,2,1,38159
13,0,0,132,5,2,3,2,1,38160
14,2,1,132,12,2,2,3,1,38161
15,2,1,132,28,2,2,2,2,38162
16,2,1,132,24,2,2,1,1,38163
17,3,2,132,3,4,4,2,0,38164
18,2,1,132,22,3,3,2,1,38165
19,3,1,132,51,4,2,3,3,38166
20,0,1,132,6,2,2,2,2,38167
21,1,1,132,10,4,3,2,1,38168
22,0,0,132,8,2,2,1,1,38169
23,0,0,132,1,3,2,0,0,38170
24,0,0,132,10,2,2,1,1,38171
25,0,0,132,10,2,3,2,1,38172
26,1,0,132,4,2,2,2,2,38173
27,0,0,132,6,2,3,1,1,38174
28,2,1,132,24,3,3,4,3,38175
29,2,1,132,8,3,3,1,2,38176
30,0,0,132,5,2,3,1,1,38177
31,2,1,132,37,3,3,3,2,38178
32,1,1,132,8,2,2,2,2,38179
33,2,1,132,15,4,3,4,3,38180
34,2,1,132,9,3,3,3,2,38181
35,1,0,132,14,0,3,3,3,38182
36,3,2,132,18,2,2,4,3,38183
37,0,0,132,5,3,3,3,3,38184
38,0,0,132,10,2,3,2,1,38185
39,1,0,132,3,1,2,1,2,38186
40,0,0,132,7,2,2,1,1,38187
41,1,0,132,12,0,0,3,2,38188
42,1,1,132,25,0,0,3,2,38189
43,2,1,132,33,1,1,2,2,38190
44,0,0,132,3,1,1,1,1,38191
45,1,1,132,22,4,1,1,1,38192
46,0,0,132,1,0,0,0,0,38193
47,2,1,211,5,2,1,2,2,38195
48,3,1,211,12,4,4,2,3,38196
49,4,3,211,53,3,4,2,3,38197
50,1,2,211,9,2,2,1,1,38198
51,2,2,211,21,2,2,2,2,38199
