,603a293ee62ae15da2674441_comparison,603a293ee62ae15da2674441_int,603a293ee62ae15da2674441_expint,conversation_id,message_len,5c4b06903566570001309394_comparison,5c4b06903566570001309394_int,5c4b06903566570001309394_expint,5df50a49a98a7a3924e4137e_comparison,5df50a49a98a7a3924e4137e_int,5df50a49a98a7a3924e4137e_expint,doccano_id
0,1,0,0,777,2,0,1,1,0,2,2,53792
1,1,2,2,777,53,1,2,2,1,2,1,53793
2,1,2,1,777,62,1,1,1,1,1,1,53794
3,1,1,1,777,12,1,0,2,0,3,4,53795
4,1,2,2,777,9,1,0,2,1,3,2,53796
5,1,3,2,777,26,1,1,1,0,2,1,53797
6,1,3,2,777,79,1,0,1,1,2,1,53798
7,1,1,2,777,111,1,0,2,0,3,2,53799
8,0,2,2,777,60,1,0,1,1,1,1,53800
9,1,3,2,777,27,1,2,2,1,2,2,53801
10,1,2,2,777,22,0,1,2,0,3,4,53802
11,1,0,0,168,5,0,1,1,0,3,3,53804
12,0,3,3,168,6,0,2,1,0,4,4,53805
13,1,4,4,168,13,1,3,1,0,3,2,53806
14,0,4,4,168,18,1,4,3,0,3,3,53807
15,1,4,4,168,7,1,3,2,1,3,3,53808
16,1,4,3,168,21,1,2,2,0,4,4,53809
17,1,4,4,168,27,1,3,2,0,4,4,53810
18,0,3,3,168,7,1,3,2,0,3,3,53811
19,1,3,3,168,17,1,3,3,0,4,4,53812
20,1,2,2,168,18,0,2,3,0,3,3,53813
21,0,2,2,168,16,1,3,3,0,3,3,53814
22,0,2,2,168,2,1,3,2,0,4,4,53815
23,1,2,2,168,16,0,2,2,0,4,4,53816
24,0,3,2,168,2,0,1,1,0,3,3,53817
25,0,2,2,168,1,0,1,2,0,3,3,53818
26,0,3,2,168,5,0,2,2,0,3,3,53819
27,0,3,2,168,2,0,1,1,0,3,3,53820
28,1,2,2,168,7,1,2,2,0,3,3,53821
29,0,2,2,168,12,0,2,2,0,3,3,53822
30,0,4,4,168,2,1,2,2,0,4,4,53823
31,1,3,2,168,10,1,3,1,0,4,4,53824
32,0,3,2,168,1,1,3,2,0,3,4,53825
33,0,2,1,168,18,0,3,2,0,4,3,53826
34,1,3,2,168,9,0,2,2,0,3,3,53827
35,1,2,1,168,11,0,2,2,0,4,4,53828
36,0,3,2,168,9,1,3,3,0,4,3,53829
37,0,2,2,168,10,1,3,2,0,3,3,53830
38,0,2,1,168,18,1,3,3,0,4,3,53831
39,0,1,1,168,8,1,2,2,0,4,3,53832
40,0,2,2,168,14,1,2,2,0,3,3,53833
41,0,3,2,168,2,1,3,3,0,3,2,53834
42,0,2,2,168,11,1,3,3,0,4,3,53835
43,1,3,3,168,8,1,3,3,1,3,4,53836
44,0,3,2,168,8,0,3,3,0,4,4,53837
45,0,2,1,168,8,1,2,3,0,4,3,53838
46,1,2,1,168,7,0,3,3,0,4,3,53839
47,0,3,2,168,17,1,4,3,0,4,4,53840
48,0,3,3,168,5,0,3,3,0,4,3,53841
49,1,3,2,168,9,1,2,3,1,3,2,53842
50,0,2,2,168,14,0,3,3,0,3,3,53843
51,1,3,2,168,13,1,4,3,0,4,4,53844
52,0,3,2,168,3,1,2,2,0,4,3,53845
53,0,2,2,168,5,1,3,3,0,4,3,53846
54,0,3,2,168,9,1,3,3,0,3,3,53847
55,1,3,4,168,77,1,3,2,1,3,3,53848
56,0,3,3,168,22,1,2,2,0,3,4,53849
57,0,3,3,168,16,1,4,3,0,4,4,53850
58,0,2,1,168,15,1,3,3,0,4,4,53851
59,0,2,2,168,19,1,2,2,0,2,3,53852
60,0,2,2,168,6,0,3,2,0,4,3,53853
61,1,3,3,168,14,1,3,2,0,3,3,53854
62,0,2,2,168,14,0,2,2,0,4,4,53855
63,0,1,1,168,4,1,3,2,1,3,4,53856
64,1,2,3,168,7,0,2,2,0,3,4,53857
65,1,2,2,168,7,1,3,2,0,4,3,53858
66,1,2,1,168,18,1,3,2,0,3,3,53859
67,0,2,3,168,30,0,3,2,0,3,3,53860
68,1,2,1,168,9,1,3,3,0,4,3,53861
69,0,2,2,168,5,0,3,3,0,3,3,53862
70,1,3,2,168,9,1,3,3,0,4,3,53863
71,0,2,2,168,10,0,3,3,0,3,3,53864
72,1,3,2,168,22,0,3,3,0,4,3,53865
73,0,2,2,168,3,1,3,3,0,3,3,53866
74,0,3,2,168,7,0,3,3,0,4,4,53867
75,0,2,2,168,49,0,3,3,0,4,3,53868
76,0,2,2,168,11,0,3,2,0,4,3,53869
77,1,2,2,168,19,1,2,2,0,3,4,53870
78,1,3,2,168,4,1,3,2,0,4,3,53871
79,1,1,1,168,25,1,3,2,0,4,4,53872
80,0,1,1,168,12,0,2,2,0,4,3,53873
81,1,2,2,168,10,1,2,2,0,4,4,53874
82,1,1,1,168,4,0,3,2,0,4,4,53875
83,1,2,1,168,10,1,2,2,0,4,3,53876
84,0,2,2,168,12,1,2,2,0,4,3,53877
85,1,2,3,168,4,1,2,2,0,3,3,53878
86,0,2,2,168,13,1,3,2,0,3,3,53879
87,0,3,2,168,16,1,2,2,0,3,2,53880
88,0,3,2,168,7,1,3,3,0,4,3,53881
89,0,1,1,168,11,0,2,2,0,3,4,53882
90,1,1,1,168,13,0,2,1,0,4,4,53883
91,0,1,1,168,3,0,2,2,0,4,3,53884
92,0,2,1,168,14,0,2,2,0,4,4,53885
93,0,2,1,168,2,0,3,2,0,4,4,53886
94,1,3,4,168,10,1,2,3,0,4,4,53887
95,1,2,2,177,3,0,1,2,0,4,4,53889
96,1,2,2,177,6,1,3,1,0,4,4,53890
97,0,1,2,177,33,1,3,2,0,3,3,53891
98,1,3,2,177,7,1,2,2,0,4,3,53892
99,1,3,2,177,71,1,2,2,0,3,4,53893
100,1,2,1,177,15,1,2,2,0,3,4,53894
101,1,1,1,177,13,1,3,2,0,4,3,53895
102,1,2,3,177,20,1,3,2,1,2,2,53896
103,0,3,3,177,29,1,3,2,0,4,3,53897
104,0,2,3,177,5,0,2,2,0,4,3,53898
105,1,3,2,177,18,1,2,2,0,3,2,53899
106,1,3,2,177,23,1,3,2,0,4,4,53900
107,1,4,3,177,48,1,3,2,0,3,3,53901
108,1,1,1,177,7,1,3,2,0,3,2,53902
109,0,1,1,177,12,1,2,2,0,3,3,53903
110,1,2,1,177,7,1,3,2,0,3,2,53904
111,1,2,2,177,1,0,3,2,0,4,4,53905
112,1,2,2,177,3,1,3,2,1,3,3,53906
113,1,2,1,177,15,1,3,2,1,4,3,53907
114,1,2,1,177,5,1,3,2,1,2,2,53908
115,0,3,3,177,4,0,3,2,0,4,3,53909
116,1,2,2,177,3,1,3,2,0,4,4,53910
117,0,3,2,177,9,1,3,2,0,4,4,53911
118,1,2,3,177,34,1,2,2,1,4,3,53912
119,0,3,3,177,22,1,2,2,1,4,4,53913
120,0,2,2,177,37,1,3,3,0,4,3,53914
121,1,2,1,177,4,1,3,3,1,3,3,53915
122,1,1,2,177,5,0,2,2,1,3,2,53916
123,0,1,1,177,2,0,2,2,0,3,3,53917
124,0,2,2,177,8,1,2,2,0,3,4,53918
125,1,1,1,177,11,1,2,2,1,4,4,53919
126,1,2,2,177,24,1,3,3,1,3,3,53920
127,1,3,3,177,12,1,3,2,0,3,4,53921
128,0,2,1,177,10,0,2,2,0,4,3,53922
129,1,2,2,177,5,1,3,3,1,3,4,53923
130,1,3,2,177,17,0,2,2,0,2,3,53924
131,1,1,1,177,5,1,1,1,1,3,2,53925
132,1,2,2,177,12,1,3,2,1,3,2,53926
133,0,2,3,177,7,1,3,2,0,3,3,53927
134,1,3,2,177,8,1,2,2,1,3,1,53928
135,1,3,2,177,9,1,2,1,0,3,4,53929
136,1,2,1,177,26,0,2,2,0,4,4,53930
137,1,2,2,177,7,1,1,1,0,3,3,53931
138,1,1,1,177,2,1,2,2,1,2,2,53932
139,0,2,1,177,15,1,2,2,0,4,3,53933
140,1,3,2,177,25,1,2,1,0,3,3,53934
141,1,1,1,177,7,1,2,1,1,3,2,53935
142,1,3,2,177,21,1,2,1,0,3,4,53936
143,1,3,3,177,49,1,3,2,0,3,3,53937
144,0,2,1,177,10,1,2,2,0,4,4,53938
145,1,3,2,177,3,1,2,2,1,3,3,53939
146,0,3,2,177,6,0,1,2,0,2,3,53940
147,1,2,2,177,9,1,2,2,0,4,3,53941
148,1,3,2,177,9,1,2,2,1,4,4,53942
149,0,2,1,177,6,1,2,2,0,4,3,53943
150,1,2,1,177,17,1,3,2,0,4,4,53944
151,1,2,3,177,1,1,2,2,0,3,3,53945
152,1,3,2,177,15,1,2,2,0,4,3,53946
153,1,4,2,177,4,1,2,1,0,3,4,53947
154,1,2,2,177,1,1,1,1,0,3,2,53948
155,1,1,1,177,4,1,2,1,0,3,4,53949
156,1,1,1,177,8,0,2,2,0,4,4,53950
157,1,1,1,177,1,1,2,2,0,4,3,53951
158,1,2,2,177,3,1,2,2,1,2,2,53952
159,0,2,3,177,14,1,2,3,0,3,2,53953
160,0,3,2,177,13,1,2,1,0,3,4,53954
161,0,2,2,177,13,1,3,2,0,4,3,53955
162,0,2,1,177,1,1,3,2,0,4,3,53956
163,1,3,3,177,14,1,3,2,0,3,2,53957
164,1,1,1,177,6,1,2,1,1,2,2,53958
165,1,2,2,177,6,1,2,1,1,3,4,53959
166,1,3,2,177,9,0,2,1,0,4,3,53960
167,1,0,0,054,8,0,2,1,0,3,4,53962
168,1,1,1,054,11,0,1,1,0,3,4,53963
169,1,2,2,054,39,0,2,1,0,3,4,53964
170,1,1,1,054,10,0,1,2,1,3,4,53965
171,0,1,1,054,21,0,2,2,0,4,4,53966
172,1,2,1,054,19,0,2,1,0,4,4,53967
173,1,1,1,054,1,1,1,1,0,2,3,53968
174,1,3,2,054,163,0,1,1,0,3,4,53969
175,1,1,3,054,132,1,2,1,1,0,0,53970
176,1,1,2,054,34,0,1,2,0,2,4,53971
177,1,1,1,054,9,0,1,1,1,4,4,53972
178,1,1,2,054,34,0,1,2,0,3,3,53973
179,1,1,1,054,35,1,2,0,0,3,3,53974
180,1,2,2,054,33,1,1,0,0,3,4,53975
181,1,1,3,054,72,0,1,0,1,2,4,53976
182,1,2,1,054,38,1,1,2,0,3,4,53977
183,1,2,2,054,43,1,2,1,0,4,4,53978
184,1,2,2,054,28,0,1,1,0,4,4,53979
185,1,1,2,054,20,0,1,2,0,4,4,53980
186,1,2,1,054,13,1,1,1,0,3,4,53981
187,1,1,1,054,28,0,1,1,1,3,4,53982
188,0,2,2,054,42,1,1,1,0,3,3,53983
189,1,2,2,054,21,1,2,2,1,2,4,53984
190,1,2,1,054,18,0,1,1,0,3,4,53985
191,1,2,1,054,124,0,1,2,1,3,4,53986
192,1,2,1,054,47,0,2,2,0,1,3,53987
193,0,2,1,054,48,1,2,1,0,2,3,53988
194,1,2,1,054,74,0,1,1,0,2,2,53989
195,1,1,1,054,14,1,2,1,0,2,4,53990
196,1,1,1,054,6,1,1,1,0,3,4,53991
197,1,3,2,054,90,1,1,2,1,2,4,53992
198,1,1,1,054,6,0,2,1,0,1,3,53993
199,0,0,0,159,5,0,3,4,1,3,4,53995
200,1,2,1,159,12,1,2,1,0,2,3,53996
201,1,1,1,159,4,1,2,2,1,3,3,53997
202,0,2,3,159,16,0,2,1,1,3,4,53998
