,5f73427f244c770277ba2a5d_int,5f73427f244c770277ba2a5d_expint,conversation_id,message_len,59b536d60516f6000197c3f9_int,59b536d60516f6000197c3f9_expint,5ea9c1f55ce96d106af147a7_int,5ea9c1f55ce96d106af147a7_expint,doccano_id
0,1,2,110,3,1,1,0,0,39021
1,2,2,110,12,2,1,3,3,39022
2,1,3,110,5,1,1,1,2,39023
3,1,0,110,8,1,0,0,1,39024
4,1,0,110,7,3,2,2,1,39025
5,2,1,110,8,2,1,0,0,39026
6,1,1,110,8,2,2,4,4,39027
7,1,2,110,5,3,2,0,0,39028
8,2,2,110,16,3,3,3,3,39029
9,3,1,110,9,2,1,4,3,39030
10,2,1,110,7,3,3,4,2,39031
11,2,2,110,10,3,4,0,0,39032
12,3,3,110,30,3,3,2,3,39033
13,1,0,110,3,2,2,0,0,39034
14,2,1,110,18,3,3,3,0,39035
15,1,1,110,8,2,1,1,3,39036
16,3,2,110,17,2,1,4,4,39037
17,2,2,110,7,1,1,2,0,39038
18,3,2,110,10,4,3,4,4,39039
19,4,3,110,32,3,3,3,4,39040
20,2,3,110,15,2,2,4,4,39041
21,2,2,110,22,3,4,1,2,39042
22,2,2,110,9,3,2,1,1,39043
23,1,1,110,6,1,2,0,0,39044
24,2,0,110,2,3,2,2,3,39045
25,1,1,110,2,1,1,0,0,39046
26,2,1,110,8,3,3,4,4,39047
27,3,2,110,11,3,3,1,0,39048
28,2,1,110,9,4,3,2,1,39049
29,2,2,110,13,3,1,3,0,39050
30,2,1,110,3,1,0,2,1,39051
31,2,1,110,13,0,1,1,1,39052
32,2,0,110,9,1,1,2,0,39053
33,0,1,110,1,0,0,0,2,39054
34,1,0,110,1,2,0,0,0,39055
35,0,2,110,1,1,2,0,0,39056
36,1,0,110,5,2,1,1,1,39057
37,1,1,110,6,1,0,3,3,39058
38,2,1,110,7,2,1,0,0,39059
39,1,1,110,2,0,1,1,0,39060
40,2,1,110,5,3,2,2,1,39061
41,2,2,110,5,2,1,3,3,39062
42,1,1,110,5,3,2,4,4,39063
43,2,1,110,8,1,2,3,3,39064
44,1,0,110,4,1,1,0,0,39065
45,2,3,110,20,3,3,4,3,39066
46,2,2,110,15,4,3,4,3,39067
47,0,0,110,9,2,4,2,2,39068
48,1,0,110,5,3,3,1,0,39069
49,1,2,110,8,2,3,0,0,39070
50,1,1,110,10,4,2,3,3,39071
51,0,2,110,3,2,1,0,0,39072
52,1,0,110,9,3,2,0,0,39073
53,3,1,110,11,3,3,1,1,39074
54,2,2,110,13,4,3,0,0,39075
55,1,2,110,18,2,1,2,2,39076
56,2,3,110,7,2,1,2,2,39077
57,2,2,110,8,1,2,2,2,39078
58,3,3,110,12,3,1,3,3,39079
59,2,2,110,8,4,2,4,4,39080
60,3,3,110,11,2,1,3,3,39081
61,0,1,110,3,1,1,0,0,39082
62,2,3,110,10,3,1,1,1,39083
63,2,2,110,15,4,3,2,2,39084
64,1,1,110,8,1,2,1,1,39085
65,1,1,110,4,1,0,0,0,39086
66,1,2,110,3,1,0,0,0,39087
67,1,1,110,7,0,0,0,0,39088
68,0,0,110,2,0,0,0,0,39089
69,1,1,134,5,0,1,1,1,39091
70,1,2,134,8,3,3,1,1,39092
71,3,3,134,19,2,3,2,2,39093
72,3,1,134,52,4,3,1,1,39094
73,2,2,134,19,4,4,3,3,39095
74,1,1,134,6,1,2,3,3,39096
75,2,2,134,26,3,2,2,2,39097
76,2,3,134,37,3,3,2,2,39098
77,3,2,134,19,4,4,2,2,39099
78,2,1,134,44,4,3,1,1,39100
79,0,2,134,13,3,2,1,1,39101
80,1,1,134,12,2,3,0,0,39102
81,2,1,134,4,4,2,0,0,39103
82,0,0,134,1,4,3,0,0,39104
83,1,2,134,7,2,4,0,0,39105
84,4,2,134,39,4,3,2,2,39106
85,1,1,134,24,4,3,3,3,39107
86,2,3,134,33,4,4,2,2,39108
87,3,2,134,33,4,3,2,2,39109
88,2,2,134,42,3,3,3,3,39110
89,3,1,134,13,4,4,2,2,39111
90,2,2,134,12,3,3,1,1,39112
91,2,1,134,12,3,2,2,2,39113
92,3,1,134,20,3,3,3,4,39114
93,2,3,134,48,4,4,3,3,39115
94,1,1,134,24,4,4,4,3,39116
95,2,2,134,24,4,4,3,3,39117
96,2,0,134,13,3,3,2,2,39118
97,1,1,134,4,3,4,2,3,39119
98,2,2,134,13,3,2,2,2,39120
99,3,1,134,64,4,4,3,2,39121
100,2,2,134,53,4,4,2,2,39122
101,1,1,134,12,1,4,1,1,39123
102,1,1,134,2,2,4,0,1,39124
103,1,1,134,38,3,4,1,1,39125
104,2,2,134,13,2,2,1,1,39126
105,2,1,134,37,3,4,2,2,39127
106,1,3,134,21,4,3,3,2,39128
107,2,1,134,23,3,2,2,1,39129
108,1,1,134,17,4,4,2,1,39130
109,2,1,134,28,3,2,3,3,39131
110,1,1,134,33,3,1,3,3,39132
111,1,0,134,3,1,1,0,1,39133
112,1,0,134,9,1,1,1,1,39134
113,0,0,142,6,1,2,0,0,39136
114,2,1,142,16,3,2,2,2,39137
115,1,1,142,10,2,3,2,2,39138
116,1,1,142,14,2,2,1,1,39139
117,1,0,142,7,1,1,1,1,39140
118,1,1,142,8,2,2,2,2,39141
