,5fae9cb0444e590669418214_int,5fae9cb0444e590669418214_expint,conversation_id,message_len,5f983c66dabf130bee4502f7_int,5f983c66dabf130bee4502f7_expint,60c8bfd9f42872e2d303cc67_int,60c8bfd9f42872e2d303cc67_expint,doccano_id
0,0,1,254,5,1,2,0,1,39362
1,2,3,254,25,1,1,2,3,39363
2,0,1,254,6,1,1,0,2,39364
3,2,1,254,8,1,0,2,2,39365
4,3,4,254,48,2,1,3,3,39366
5,1,1,254,12,1,0,2,2,39367
6,1,0,254,2,0,0,0,0,39368
7,4,4,254,22,2,1,3,3,39369
8,4,4,254,35,1,0,4,3,39370
9,3,4,254,40,2,1,4,4,39371
10,4,4,254,44,1,1,4,2,39372
11,3,1,254,25,2,2,3,3,39373
12,3,1,254,22,2,2,4,3,39374
13,1,3,254,3,2,1,2,1,39375
14,4,4,254,10,1,1,2,2,39376
15,3,4,254,8,1,1,2,2,39377
16,4,4,254,14,3,2,3,4,39378
17,4,4,254,29,2,1,3,2,39379
18,4,4,254,90,3,3,3,3,39380
19,2,1,254,8,1,2,1,1,39381
20,2,4,254,27,1,1,1,1,39382
21,1,2,254,9,2,2,0,1,39383
22,4,4,254,35,3,2,3,3,39384
23,4,4,254,11,1,2,1,2,39385
24,2,4,254,1,0,0,0,1,39386
25,4,4,254,41,3,2,3,2,39387
26,3,3,254,9,2,1,2,2,39388
27,3,4,254,13,2,3,2,2,39389
28,4,3,254,1,1,2,0,1,39390
29,4,4,254,24,1,2,1,2,39391
30,4,4,254,21,2,1,2,2,39392
31,4,4,254,11,1,2,2,2,39393
32,4,4,254,14,2,3,1,1,39394
33,4,4,254,7,1,3,0,1,39395
34,3,4,254,1,1,3,0,1,39396
35,3,4,254,25,1,3,1,0,39397
36,4,4,254,5,2,2,0,1,39398
37,4,4,254,37,3,2,2,2,39399
38,4,4,254,23,3,2,1,2,39400
39,3,1,254,44,3,1,1,1,39401
40,1,1,254,9,2,1,0,0,39402
41,2,2,254,7,1,0,0,0,39403
42,1,1,254,5,0,0,0,0,39404
43,0,0,254,1,0,0,0,0,39405
44,1,3,052,4,0,1,1,1,39407
45,3,4,052,4,2,2,1,1,39408
46,3,4,052,12,3,1,1,2,39409
47,2,3,052,6,2,2,1,1,39410
48,3,4,052,8,3,2,2,1,39411
49,4,2,052,1,0,2,0,1,39412
50,4,4,052,8,3,1,2,2,39413
51,4,4,052,7,2,1,2,2,39414
52,4,4,052,5,3,2,1,2,39415
53,4,4,052,18,3,2,2,1,39416
54,4,4,052,1,0,4,0,1,39417
55,4,4,052,30,3,3,2,1,39418
56,4,4,052,13,4,3,2,1,39419
57,4,4,052,3,3,2,1,2,39420
58,4,4,052,9,2,2,2,2,39421
59,4,4,052,2,1,2,1,1,39422
60,4,3,052,1,0,3,0,1,39423
61,3,4,052,24,3,2,3,2,39424
62,2,4,052,1,1,3,0,2,39425
63,3,4,052,13,3,2,2,1,39426
64,3,4,052,19,3,2,2,1,39427
65,3,3,052,8,2,4,1,1,39428
66,2,1,052,1,0,0,0,1,39429
67,2,2,052,3,1,1,0,1,39430
68,3,3,052,26,2,3,2,2,39431
69,3,3,052,10,2,3,2,3,39432
70,3,4,052,2,3,2,2,2,39433
71,3,4,052,2,2,1,2,1,39434
72,4,4,052,19,2,2,2,2,39435
