,602fb33786b077cdbad2d5bb_comparison,602fb33786b077cdbad2d5bb_int,602fb33786b077cdbad2d5bb_expint,conversation_id,message_len,5b830542b0d72600018dc280_comparison,5b830542b0d72600018dc280_int,5b830542b0d72600018dc280_expint,5f233d7f53212b0e22bf055d_comparison,5f233d7f53212b0e22bf055d_int,5f233d7f53212b0e22bf055d_expint,doccano_id
0,1,2,3,094,2,1,1,1,1,3,4,66789
1,0,2,2,094,4,1,2,1,1,1,1,66790
2,1,2,3,094,34,0,3,2,1,3,2,66791
3,0,4,3,094,13,0,2,1,0,1,2,66792
4,0,2,1,094,8,0,1,1,1,1,1,66793
5,1,1,1,094,28,0,1,2,1,0,1,66794
6,0,2,1,094,6,1,1,1,0,1,1,66795
7,0,4,2,094,9,0,2,2,0,2,1,66796
8,1,2,3,094,3,1,2,2,1,1,2,66797
9,1,2,2,094,12,0,1,1,0,1,1,66798
10,0,3,2,094,13,1,2,2,0,1,2,66799
11,1,4,2,094,12,0,2,0,0,2,1,66800
12,1,3,1,094,12,0,2,2,1,2,1,66801
13,0,4,3,094,2,0,2,2,0,2,1,66802
14,0,3,2,094,5,0,2,2,0,3,2,66803
15,1,3,1,094,2,0,1,1,0,2,1,66804
16,1,3,2,094,15,1,2,0,0,2,3,66805
17,1,2,4,094,17,0,1,0,1,2,3,66806
18,0,1,3,094,9,1,1,1,1,2,3,66807
19,1,3,3,094,17,1,1,1,0,3,3,66808
20,0,2,3,094,10,1,2,1,0,3,3,66809
21,1,3,1,094,7,1,1,1,1,3,2,66810
22,0,4,2,094,2,0,2,1,0,3,2,66811
23,1,3,3,094,6,0,2,2,1,3,3,66812
24,0,2,2,094,5,0,2,1,0,3,2,66813
25,0,4,1,094,10,1,2,2,0,3,3,66814
26,0,3,1,094,19,1,2,0,0,3,4,66815
27,1,1,1,094,7,1,1,0,1,3,2,66816
28,0,4,1,094,18,1,2,1,1,4,2,66817
29,0,2,1,094,8,1,1,1,0,3,2,66818
30,0,3,1,094,7,1,1,0,1,3,2,66819
31,0,1,0,094,27,0,0,0,0,3,4,66820
32,1,3,3,094,24,1,1,1,0,3,4,66821
33,0,1,1,094,3,0,0,0,0,2,3,66822
34,1,1,1,094,15,0,0,0,0,2,4,66823
35,0,0,1,094,15,0,0,0,0,2,3,66824
36,1,1,2,094,10,0,0,0,0,3,3,66825
37,0,2,3,094,8,0,0,0,0,2,2,66826
38,1,1,1,094,22,0,1,1,1,2,3,66827
39,0,3,3,094,34,1,0,1,1,3,4,66828
40,0,2,3,094,14,0,1,1,0,3,3,66829
41,0,1,3,094,24,0,0,1,1,3,3,66830
42,0,1,2,094,31,0,0,3,0,3,3,66831
43,0,1,2,094,4,1,1,2,1,3,1,66832
44,1,2,1,094,12,0,1,2,1,3,3,66833
45,0,2,1,094,7,0,1,2,0,4,3,66834
46,0,2,1,094,1,1,1,1,0,3,2,66835
47,1,2,1,094,12,0,1,0,1,2,1,66836
48,0,3,1,094,13,1,2,2,0,3,2,66837
49,0,1,3,094,21,1,1,1,0,2,3,66838
50,0,0,1,094,7,0,0,0,0,2,2,66839
51,1,1,2,094,4,0,1,0,0,4,3,66840
52,1,1,1,163,2,1,0,0,1,2,1,66841
53,1,2,2,163,9,1,2,1,1,3,2,66842
54,1,2,2,163,11,1,2,2,0,3,3,66843
55,0,3,2,163,16,1,2,1,0,3,3,66844
56,1,2,2,163,20,1,1,1,0,1,4,66845
57,0,3,2,163,4,1,1,2,0,3,4,66846
58,0,3,2,163,31,1,3,2,1,3,4,66847
59,1,4,2,163,13,1,1,1,1,4,4,66848
60,1,3,2,163,12,1,0,0,1,4,4,66849
61,0,2,2,163,11,0,1,2,0,3,4,66850
62,1,3,3,163,12,1,1,2,1,4,4,66851
63,1,3,4,163,14,1,2,1,0,4,4,66852
64,0,2,2,163,7,1,0,2,0,4,3,66853
65,0,3,3,163,9,0,2,2,0,4,3,66854
66,0,4,3,163,32,1,3,3,1,4,4,66855
67,1,3,3,163,10,1,2,3,0,4,4,66856
68,0,2,2,163,21,1,0,4,0,2,4,66857
69,0,3,3,163,14,1,4,3,0,4,4,66858
70,1,3,3,163,19,1,3,3,1,4,4,66859
71,0,3,3,163,6,1,3,1,0,4,4,66860
72,0,2,2,163,9,1,1,2,0,4,4,66861
73,0,4,2,163,9,1,2,1,0,3,3,66862
74,0,3,2,163,20,1,1,2,0,3,3,66863
75,0,3,2,163,13,1,2,3,0,3,4,66864
76,0,4,3,163,5,1,1,2,0,3,3,66865
77,0,4,3,163,10,1,3,1,0,3,3,66866
78,0,3,2,163,5,1,2,2,0,4,2,66867
79,0,4,3,163,1,0,2,2,0,3,3,66868
80,0,3,2,163,4,1,0,1,0,3,2,66869
81,0,4,3,163,1,1,1,1,0,3,2,66870
82,0,3,3,163,1,0,2,1,0,2,2,66871
83,0,2,2,163,31,1,3,3,0,1,1,66872
84,0,3,2,163,14,1,2,2,1,3,2,66873
85,0,2,2,163,4,1,2,2,0,2,2,66874
86,0,3,2,163,12,1,1,2,1,2,2,66875
87,0,3,2,163,4,1,2,2,0,2,1,66876
88,1,1,1,163,20,1,1,2,1,0,1,66877
89,0,2,2,163,13,1,1,1,0,1,1,66878
90,0,3,3,163,26,1,2,3,0,3,2,66879
91,0,3,2,163,11,0,1,2,1,4,3,66880
92,0,3,2,163,12,1,2,3,0,4,4,66881
93,0,3,3,163,6,0,3,1,0,4,4,66882
94,0,4,3,163,6,1,2,1,0,4,4,66883
95,0,3,3,163,6,0,4,2,1,4,3,66884
96,0,3,3,163,5,1,1,1,0,4,3,66885
97,0,3,3,163,14,1,3,1,1,4,3,66886
98,1,4,2,163,14,1,3,1,0,4,4,66887
99,0,2,3,163,22,1,3,2,1,3,3,66888
100,0,3,2,163,6,1,4,2,0,3,3,66889
101,1,2,1,163,16,1,2,2,0,3,3,66890
102,1,4,3,163,25,1,3,2,0,3,2,66891
103,0,3,2,163,11,1,2,1,0,3,3,66892
104,0,2,1,163,15,1,3,1,0,3,3,66893
105,0,3,2,163,4,0,1,3,0,3,3,66894
106,0,2,2,163,2,0,1,3,0,3,4,66895
107,0,3,3,163,5,1,4,3,1,3,3,66896
108,1,3,2,163,12,0,4,1,1,4,4,66897
109,0,3,2,163,32,1,4,3,1,3,3,66898
110,1,4,3,163,5,1,2,2,0,4,3,66899
111,1,3,1,163,14,0,1,1,0,4,4,66900
112,0,3,2,163,12,1,1,2,0,4,4,66901
113,0,2,1,163,12,0,2,0,0,4,3,66902
114,1,2,1,163,10,1,2,2,0,4,4,66903
115,0,2,1,163,9,1,1,1,1,3,4,66904
116,1,3,1,163,6,1,4,2,1,4,4,66905
117,0,2,2,163,8,1,4,1,0,4,4,66906
118,0,3,2,163,3,1,1,1,1,4,3,66907
119,1,3,1,163,12,0,2,1,0,3,3,66908
120,0,2,1,163,1,1,1,1,0,3,4,66909
121,0,3,3,163,7,1,1,2,1,3,3,66910
122,1,4,3,163,14,1,4,2,1,3,3,66911
123,1,2,2,163,11,1,1,2,1,3,4,66912
124,1,2,2,163,12,0,3,2,0,4,4,66913
125,0,3,2,163,1,0,1,2,0,4,4,66914
126,1,3,2,163,23,1,4,3,1,4,4,66915
127,1,3,3,163,27,1,2,2,0,4,1,66916
128,0,2,2,163,10,1,2,2,0,3,3,66917
129,0,4,3,163,24,1,4,2,0,4,4,66918
130,0,3,1,163,20,1,3,1,0,3,3,66919
131,1,3,2,163,6,1,3,0,0,3,4,66920
132,0,3,2,163,1,1,1,0,0,3,1,66921
