,5d2b153afa24ba00173e8ee0_int,5d2b153afa24ba00173e8ee0_expint,conversation_id,message_len,5f3e36440f2e8d0008474ef9_int,5f3e36440f2e8d0008474ef9_expint,60f88d7fef1959734061e5a7_int,60f88d7fef1959734061e5a7_expint,doccano_id
0,2,1,154,6,1,1,1,1,45831
1,0,0,154,7,0,1,1,1,45832
2,2,3,154,19,3,2,2,2,45833
3,2,1,154,6,1,1,2,2,45834
4,1,2,154,8,1,1,1,2,45835
5,3,2,154,15,2,1,1,1,45836
6,1,1,154,14,1,1,1,1,45837
7,2,2,154,8,1,1,1,1,45838
8,3,2,154,15,1,1,2,2,45839
9,0,0,154,2,0,1,1,0,45840
10,0,0,154,1,0,1,1,1,45841
11,0,0,154,1,0,0,1,1,45842
12,0,0,154,1,0,0,1,1,45843
13,1,0,154,5,1,0,2,2,45844
14,0,0,154,8,1,1,2,2,45845
15,2,1,154,27,2,1,2,2,45846
16,0,1,154,3,1,1,2,2,45847
17,1,1,154,15,2,1,3,3,45848
18,0,1,154,3,0,1,1,0,45849
19,2,2,154,21,2,1,2,2,45850
20,2,2,154,19,2,1,3,2,45851
21,1,2,154,12,1,1,3,2,45852
22,1,2,154,13,2,1,2,2,45853
23,0,1,154,1,0,1,1,0,45854
24,0,1,154,1,0,1,1,0,45855
25,0,0,154,1,0,1,1,0,45856
26,2,2,154,32,3,2,2,1,45857
27,1,1,154,6,1,1,2,2,45858
28,1,1,154,3,1,1,1,1,45859
29,1,1,154,3,1,1,1,1,45860
30,0,0,154,1,0,1,1,0,45861
31,0,0,154,1,0,1,1,0,45862
32,3,3,154,59,3,1,2,2,45863
33,0,1,154,1,1,1,1,1,45864
34,0,1,154,1,0,1,1,0,45865
35,0,1,154,1,0,1,1,1,45866
36,0,0,154,1,0,1,1,0,45867
37,1,0,154,11,1,1,2,1,45868
38,0,0,154,2,0,1,2,1,45869
39,1,1,084,6,1,1,2,2,45871
40,1,2,084,9,2,1,2,2,45872
41,1,1,084,10,2,2,3,3,45873
42,1,1,084,14,1,2,3,3,45874
43,1,1,084,10,1,1,2,2,45875
44,2,2,084,21,3,2,3,2,45876
45,0,1,084,4,0,1,3,3,45877
46,1,1,084,13,2,1,2,2,45878
47,0,1,084,8,2,1,3,2,45879
48,3,2,084,22,2,1,3,2,45880
49,1,1,084,8,1,2,2,2,45881
50,2,1,084,20,0,1,2,2,45882
51,0,1,084,11,1,1,2,2,45883
52,0,1,084,1,0,1,2,2,45884
53,2,1,084,12,1,1,3,2,45885
54,3,3,084,20,2,1,2,2,45886
55,2,2,084,8,1,1,3,4,45887
56,3,3,084,32,3,1,2,2,45888
57,2,2,084,22,2,1,2,2,45889
58,2,3,084,21,1,1,2,2,45890
59,3,2,084,39,2,1,2,2,45891
60,1,1,084,5,0,1,2,2,45892
61,1,1,084,8,0,1,2,2,45893
62,1,2,084,23,1,1,2,2,45894
63,1,1,084,13,2,1,3,2,45895
64,1,1,084,5,0,1,2,2,45896
65,1,2,084,25,3,1,4,3,45897
66,1,1,084,13,1,1,3,3,45898
67,1,1,084,7,1,1,3,3,45899
68,2,1,084,20,2,1,3,3,45900
69,1,1,084,13,1,1,2,2,45901
70,1,1,084,20,2,1,4,3,45902
71,0,1,084,10,1,1,2,2,45903
72,0,1,084,10,1,1,2,2,45904
73,1,1,084,12,1,1,3,3,45905
74,2,1,084,6,0,1,2,2,45906
75,0,1,084,8,1,1,2,2,45907
76,0,1,084,3,0,1,2,2,45908
77,0,1,084,1,0,1,1,1,45909
78,1,1,084,14,1,1,3,2,45910
79,1,1,084,7,1,1,3,3,45911
80,1,1,084,6,2,1,2,2,45912
81,1,1,084,12,1,1,2,2,45913
82,2,2,084,27,2,1,2,2,45914
83,1,1,084,4,0,1,3,2,45915
84,0,1,084,1,0,1,2,2,45916
85,2,1,084,14,1,1,2,2,45917
86,1,1,084,31,0,1,3,2,45918
87,3,2,084,18,0,1,2,2,45919
88,2,2,084,28,0,1,2,2,45920
89,1,2,084,3,0,0,2,2,45921
90,2,2,084,10,0,0,2,2,45922
91,1,2,084,1,0,0,2,2,45923
92,2,2,084,4,0,0,2,2,45924
93,2,2,084,17,0,0,2,2,45925
94,2,2,084,17,0,0,2,2,45926
95,2,2,084,11,0,0,2,2,45927
96,2,2,084,18,0,0,2,2,45928
97,3,2,084,34,1,0,2,2,45929
98,2,2,084,24,0,0,2,2,45930
99,2,2,084,15,0,0,2,2,45931
100,2,2,084,1,0,0,2,2,45932
101,1,1,084,2,0,0,2,2,45933
102,3,1,084,58,1,1,2,2,45934
103,1,0,084,4,1,1,2,2,45935
104,0,0,084,5,0,0,2,1,45936
105,0,0,084,2,0,0,2,2,45937
106,1,1,007,5,0,1,2,2,45939
107,1,1,007,20,1,1,2,2,45940
108,2,2,007,45,2,1,2,2,45941
109,2,2,007,81,3,2,3,3,45942
110,1,1,007,4,2,1,3,2,45943
111,0,1,007,2,0,1,2,2,45944
112,1,1,007,27,2,1,2,2,45945
113,0,0,007,5,1,1,3,2,45946
114,1,1,007,16,2,1,2,2,45947
115,0,1,007,7,2,1,3,2,45948
116,1,1,007,33,2,1,2,2,45949
117,2,1,007,16,1,1,1,1,45950
118,0,1,007,1,0,1,1,1,45951
119,0,0,007,2,0,1,1,1,45952
120,1,1,007,15,1,1,2,2,45953
121,2,1,007,9,1,1,2,2,45954
122,2,2,007,20,1,1,2,2,45955
123,3,2,007,45,2,1,3,2,45956
124,1,1,007,21,1,1,3,3,45957
125,2,2,007,8,1,1,3,3,45958
126,2,1,007,22,1,1,3,3,45959
127,0,1,007,6,1,1,2,2,45960
128,1,1,007,7,1,1,2,2,45961
129,2,1,007,31,3,1,2,2,45962
130,2,1,007,19,2,1,2,2,45963
131,0,1,007,2,0,1,2,1,45964
132,0,1,007,3,1,1,2,1,45965
133,1,1,007,8,1,1,2,2,45966
134,0,1,007,11,1,1,2,2,45967
135,1,1,007,19,1,1,2,1,45968
136,0,1,007,1,0,1,1,1,45969
137,3,2,007,42,3,1,2,2,45970
138,0,1,007,7,2,1,1,1,45971
139,1,1,007,22,2,1,2,2,45972
140,0,1,007,3,0,1,1,1,45973
141,1,1,007,9,1,1,3,2,45974
142,2,1,007,21,1,1,4,3,45975
143,0,1,007,4,0,1,3,2,45976
144,2,2,007,37,2,1,3,2,45977
145,0,0,007,8,1,1,2,2,45978
146,0,1,027,4,1,1,2,2,45980
147,0,1,027,1,0,1,1,1,45981
148,2,2,027,47,2,1,2,2,45982
149,2,1,027,27,2,1,3,2,45983
150,0,1,027,2,0,1,1,1,45984
151,0,1,027,2,0,1,1,1,45985
152,2,2,027,17,1,1,2,2,45986
153,2,2,027,21,1,1,2,2,45987
154,1,1,027,6,2,1,2,2,45988
155,1,1,027,3,2,1,3,2,45989
156,0,1,027,2,1,1,2,2,45990
157,1,1,027,12,2,1,2,2,45991
158,1,1,027,3,0,1,2,2,45992
159,0,1,027,1,0,1,2,2,45993
160,2,1,027,5,1,1,2,2,45994
161,0,1,027,1,0,1,2,2,45995
162,1,1,027,12,1,1,2,2,45996
163,1,1,027,6,2,1,2,2,45997
164,1,1,027,10,2,1,3,2,45998
165,2,1,027,16,2,1,2,2,45999
166,0,1,027,2,0,1,2,2,46000
167,1,1,027,1,1,1,1,1,46001
168,1,1,027,6,1,1,2,2,46002
169,1,1,027,9,1,1,3,2,46003
170,1,1,027,1,1,1,1,1,46004
171,2,1,027,16,2,1,3,2,46005
172,2,1,027,26,2,1,2,2,46006
173,1,1,027,7,2,1,2,2,46007
174,0,1,027,2,0,1,2,1,46008
175,0,1,027,3,1,1,1,1,46009
176,0,1,027,3,0,1,1,1,46010
177,2,2,027,34,1,1,2,2,46011
178,1,1,027,5,1,1,2,2,46012
179,1,1,027,10,1,1,1,1,46013
180,0,1,027,5,2,1,2,2,46014
181,0,1,027,3,1,1,1,1,46015
182,1,2,027,13,1,1,1,1,46016
183,1,1,027,1,1,1,1,1,46017
184,0,1,027,1,0,1,1,1,46018
185,1,2,027,24,2,1,2,2,46019
186,0,1,027,4,1,0,1,1,46020
187,0,1,027,1,1,0,1,1,46021
188,0,1,027,4,1,0,1,1,46022
189,0,1,027,2,0,0,2,1,46023
190,1,1,027,16,2,0,2,2,46024
191,0,1,027,2,0,0,1,1,46025
192,0,0,027,2,0,0,2,1,46026
193,1,1,070,6,1,1,2,2,46028
194,1,1,070,22,2,1,3,2,46029
195,2,1,070,43,2,1,2,2,46030
196,1,1,070,7,0,1,2,2,46031
197,1,1,070,15,1,1,2,2,46032
198,2,2,070,39,2,1,2,2,46033
199,3,2,070,49,3,1,2,2,46034
200,2,1,070,28,2,1,2,2,46035
201,2,1,070,24,1,1,1,2,46036
202,1,2,070,10,0,1,1,1,46037
203,3,2,070,80,3,1,2,2,46038
204,1,1,070,14,1,1,1,1,46039
205,1,1,070,17,1,1,2,2,46040
206,2,2,070,16,2,1,2,2,46041
207,2,1,070,29,1,1,2,2,46042
208,2,1,070,53,1,1,3,3,46043
209,1,2,070,21,1,1,2,2,46044
210,1,1,070,32,1,1,2,2,46045
211,1,1,070,16,2,1,2,2,46046
212,1,1,070,15,1,1,2,2,46047
213,1,1,070,30,2,1,3,3,46048
214,2,1,070,43,2,1,2,2,46049
215,2,1,070,14,1,1,2,2,46050
216,2,1,070,32,1,1,2,2,46051
217,2,1,070,49,2,1,2,2,46052
218,1,1,070,9,1,1,2,2,46053
219,1,1,070,20,1,1,2,3,46054
220,2,1,070,9,1,1,2,2,46055
221,1,1,070,18,2,1,2,2,46056
222,2,1,070,32,2,1,2,2,46057
223,0,0,070,1,0,1,1,1,46058
224,0,1,221,2,0,1,2,2,46060
225,1,1,221,7,1,0,2,2,46061
226,1,1,221,25,1,1,3,2,46062
227,0,1,221,9,1,1,2,2,46063
228,1,1,221,19,1,1,2,2,46064
229,2,1,221,42,2,1,3,2,46065
230,0,1,221,10,1,1,2,2,46066
231,2,1,221,47,3,1,2,2,46067
232,0,1,221,6,1,1,1,2,46068
233,0,1,221,16,1,1,2,2,46069
234,2,1,221,22,2,1,2,2,46070
235,1,1,221,26,2,1,2,2,46071
236,1,1,221,19,1,1,2,2,46072
237,2,1,221,35,2,2,2,2,46073
238,1,1,221,16,1,1,2,2,46074
239,2,1,221,26,2,2,2,2,46075
240,1,1,221,13,1,1,3,2,46076
241,1,1,221,18,1,1,2,2,46077
242,0,1,221,1,1,1,1,2,46078
243,1,1,221,12,1,1,1,1,46079
244,2,1,221,27,3,1,1,1,46080
245,2,1,221,52,3,1,2,2,46081
246,1,1,221,62,3,2,2,2,46082
247,1,1,221,20,2,1,3,2,46083
248,0,1,221,10,1,1,1,2,46084
249,1,1,221,27,2,1,1,2,46085
250,2,1,221,34,2,1,2,2,46086
251,2,1,221,22,2,2,2,2,46087
252,2,1,221,20,1,1,2,2,46088
253,1,1,221,6,1,1,1,1,46089
254,1,1,221,39,2,1,2,2,46090
255,2,2,221,109,3,2,2,2,46091
256,0,1,221,6,1,1,1,1,46092
257,1,1,221,14,1,1,2,2,46093
258,1,1,221,32,2,1,2,2,46094
259,2,1,221,23,1,1,2,2,46095
260,1,2,221,4,1,1,1,2,46096
261,2,1,221,42,1,1,2,2,46097
262,2,1,221,76,3,1,2,2,46098
263,1,1,221,37,1,1,3,2,46099
264,1,1,221,7,2,1,2,2,46100
265,0,1,221,2,0,1,1,2,46101
266,0,0,221,11,1,1,2,2,46102
