,5f2196d2670e5a0a96f218de_comparison,5f2196d2670e5a0a96f218de_int,5f2196d2670e5a0a96f218de_expint,conversation_id,message_len,5e569011c0486f03a51801b5_comparison,5e569011c0486f03a51801b5_int,5e569011c0486f03a51801b5_expint,60743bea7dd527ac14fef25b_comparison,60743bea7dd527ac14fef25b_int,60743bea7dd527ac14fef25b_expint,doccano_id
0,1,0,1,777,4,0,0,0,1,0,0,53160
1,1,3,4,777,51,1,1,1,1,3,3,53161
2,1,2,1,777,58,0,0,0,1,1,0,53162
3,1,1,2,777,9,0,1,1,0,1,0,53163
4,0,3,3,777,8,1,3,3,1,1,2,53164
5,1,4,3,777,33,0,2,2,1,1,2,53165
6,0,4,4,777,39,0,3,2,1,1,1,53166
7,0,1,2,777,118,1,0,0,0,1,1,53167
8,0,3,4,777,52,0,0,0,1,2,1,53168
9,1,3,3,777,32,0,2,2,1,1,1,53169
10,1,1,2,777,18,0,0,2,1,1,1,53170
11,1,1,2,084,6,1,0,0,1,1,2,53172
12,1,3,4,084,9,1,3,1,1,3,1,53173
13,1,4,4,084,1,1,4,3,1,3,2,53174
14,1,4,4,084,3,0,4,3,1,1,1,53175
15,1,3,3,084,7,0,3,4,0,4,3,53176
16,0,4,3,084,1,0,2,1,0,3,4,53177
17,0,4,4,084,3,0,3,2,1,3,4,53178
18,1,3,2,084,3,1,1,0,0,3,3,53179
19,1,4,4,084,12,0,4,3,1,4,3,53180
20,0,3,3,084,1,0,4,3,0,4,3,53181
21,1,4,2,084,4,0,4,2,1,2,3,53182
22,0,4,4,084,18,0,3,4,1,3,3,53183
23,1,4,4,084,13,1,4,2,1,3,3,53184
24,0,4,4,084,1,0,3,2,0,3,3,53185
25,0,4,4,084,5,1,4,4,0,2,2,53186
26,1,4,4,084,7,1,4,4,0,3,3,53187
27,0,4,4,084,5,0,4,4,0,2,3,53188
28,1,4,4,084,14,0,4,4,0,2,3,53189
29,1,4,3,084,53,0,4,4,0,3,3,53190
30,0,4,3,084,10,0,4,4,1,3,2,53191
31,1,3,3,084,17,1,3,4,0,2,2,53192
32,1,4,4,084,2,0,4,4,1,2,2,53193
33,1,2,2,084,2,1,4,4,1,4,2,53194
34,0,3,3,084,9,0,4,4,0,4,2,53195
35,1,4,4,084,19,0,4,4,1,4,2,53196
36,0,4,4,084,41,0,4,4,1,3,2,53197
37,1,2,3,084,1,0,4,4,1,3,2,53198
38,1,4,4,084,12,0,4,4,1,3,2,53199
39,1,2,3,084,3,1,4,2,1,2,2,53200
40,0,2,2,084,10,0,4,1,1,2,2,53201
41,0,4,2,084,8,1,4,3,1,2,2,53202
42,1,3,3,084,8,1,4,4,1,3,2,53203
43,1,2,3,084,5,0,4,4,0,3,2,53204
44,1,3,4,084,17,0,4,4,0,2,2,53205
45,1,3,3,084,8,0,4,4,0,3,2,53206
46,0,3,2,084,4,0,4,4,1,3,2,53207
47,1,3,2,084,1,0,4,4,1,2,2,53208
48,1,4,4,084,8,1,4,4,0,3,2,53209
