,5ab15ab4c42b630001cd36fb_int,5ab15ab4c42b630001cd36fb_expint,conversation_id,message_len,5f3161410f87706425490ae1_int,5f3161410f87706425490ae1_expint,5f99cee5a2a7d109a1624e10_int,5f99cee5a2a7d109a1624e10_expint,doccano_id
0,2,1,167,6,1,2,2,2,46949
1,1,1,167,5,1,2,1,2,46950
2,1,1,167,5,0,2,1,2,46951
3,2,1,167,24,2,2,4,3,46952
4,3,1,167,21,4,3,1,1,46953
5,2,1,167,46,4,2,3,3,46954
6,2,2,167,32,3,3,2,3,46955
7,0,3,167,2,1,1,1,1,46956
8,2,2,167,14,4,4,0,0,46957
9,3,3,167,13,1,2,1,2,46958
10,2,3,167,22,3,4,1,1,46959
11,3,3,167,67,4,4,2,2,46960
12,3,3,167,30,4,4,2,2,46961
13,3,3,167,17,4,4,2,2,46962
14,2,2,167,20,4,4,2,2,46963
15,2,2,167,27,4,4,2,2,46964
16,3,3,167,21,4,4,2,2,46965
17,3,3,167,29,4,4,2,2,46966
18,3,3,167,15,4,4,1,2,46967
19,2,3,167,20,4,4,1,1,46968
20,2,2,167,31,4,4,1,1,46969
21,4,4,167,47,4,3,2,1,46970
22,2,2,167,17,3,2,1,1,46971
23,3,3,167,3,2,2,1,1,46972
24,3,3,167,9,2,2,2,2,46973
25,2,2,167,4,2,2,2,2,46974
26,3,3,167,3,2,2,1,2,46975
27,2,2,167,14,3,2,1,1,46976
28,1,1,167,7,2,2,1,2,46977
29,1,1,167,5,2,2,1,2,46978
30,2,2,167,4,2,2,2,1,46979
31,2,1,167,7,2,1,2,2,46980
32,1,1,167,12,3,3,2,3,46981
33,2,2,167,44,4,3,2,2,46982
34,2,3,167,15,2,1,3,3,46983
35,3,3,167,7,2,1,3,3,46984
36,2,3,167,5,2,1,3,3,46985
37,2,2,167,14,2,2,3,3,46986
38,2,2,167,7,2,2,3,3,46987
39,1,1,167,25,2,2,3,3,46988
40,3,3,167,18,2,2,3,3,46989
41,3,3,167,19,3,2,3,2,46990
42,1,1,167,3,4,2,2,2,46991
43,3,4,167,18,3,4,2,1,46992
44,2,2,167,10,3,3,2,1,46993
45,2,3,167,11,3,3,1,1,46994
46,1,2,167,13,4,3,1,1,46995
47,1,1,167,33,4,2,1,1,46996
48,1,3,167,9,1,0,2,3,46997
49,1,1,167,8,1,0,2,2,46998
50,1,1,153,5,1,2,1,1,47000
51,1,1,153,3,2,3,2,2,47001
52,1,1,153,10,2,2,2,2,47002
53,1,1,153,6,2,1,1,2,47003
54,3,3,153,10,3,4,2,2,47004
55,3,3,153,18,2,1,2,2,47005
56,2,2,153,10,1,2,1,1,47006
57,2,2,153,9,2,3,2,2,47007
58,1,1,153,7,2,4,2,2,47008
59,2,2,153,14,4,2,2,2,47009
60,3,3,153,44,4,4,2,2,47010
61,1,2,153,12,3,2,2,2,47011
62,4,1,153,21,3,3,2,1,47012
63,2,3,153,12,2,1,2,2,47013
64,1,2,153,12,2,2,2,3,47014
65,0,2,153,3,1,2,2,2,47015
66,2,2,153,9,2,2,3,2,47016
67,3,1,153,35,3,2,3,3,47017
