,5f14dbbb791d175744d71a09_comparison,5f14dbbb791d175744d71a09_int,5f14dbbb791d175744d71a09_expint,conversation_id,message_len,5ea59ae1ae3958000acc6400_comparison,5ea59ae1ae3958000acc6400_int,5ea59ae1ae3958000acc6400_expint,5fa888dbc0c212750f986c9e_comparison,5fa888dbc0c212750f986c9e_int,5fa888dbc0c212750f986c9e_expint,doccano_id
0,0,2,2,777,1,1,1,1,1,2,3,59726
1,1,3,4,777,40,1,2,3,1,3,3,59727
2,1,2,2,777,44,0,3,2,0,2,2,59728
3,1,3,2,777,8,0,3,2,0,3,3,59729
4,0,2,2,777,8,1,2,3,0,4,4,59730
5,0,3,2,777,18,0,3,2,1,2,3,59731
6,0,2,3,777,72,0,2,1,1,1,3,59732
7,1,2,2,777,109,1,2,3,0,2,3,59733
8,0,3,2,777,39,0,3,2,0,4,3,59734
9,0,3,2,777,31,0,3,2,0,3,3,59735
10,0,2,1,777,11,0,3,3,0,4,4,59736
11,1,1,0,064,2,0,4,3,0,3,3,59738
12,1,4,2,064,27,0,3,2,0,2,3,59739
13,0,3,2,064,19,0,3,2,1,3,3,59740
14,0,2,1,064,21,1,2,3,0,2,3,59741
15,1,2,1,064,7,1,2,3,1,2,2,59742
16,1,3,3,064,22,0,2,3,0,3,3,59743
17,0,3,3,064,20,1,1,4,1,3,2,59744
18,0,3,3,064,12,1,1,3,1,2,2,59745
19,0,3,3,064,9,1,2,3,1,2,3,59746
20,0,3,3,064,10,0,2,2,1,2,3,59747
21,0,4,3,064,1,0,3,3,1,4,3,59748
22,0,3,2,064,4,0,3,2,0,3,3,59749
23,1,2,2,064,5,1,2,3,1,4,2,59750
24,0,3,3,064,4,0,3,3,0,2,3,59751
25,1,3,2,064,8,0,3,2,0,3,3,59752
26,0,3,3,064,8,0,2,2,1,2,2,59753
27,1,3,3,064,3,0,3,2,1,2,2,59754
28,1,4,3,064,2,1,3,3,0,3,3,59755
29,1,3,3,064,23,1,2,4,1,2,4,59756
30,0,3,3,064,9,0,3,3,1,3,3,59757
31,1,3,3,064,2,0,2,1,1,2,2,59758
32,1,3,3,064,7,0,2,3,0,2,2,59759
33,0,3,3,064,3,0,2,1,0,2,2,59760
34,0,4,3,064,2,1,2,3,0,1,1,59761
