,6043725293678f31ff8f8ae5_comparison,6043725293678f31ff8f8ae5_int,6043725293678f31ff8f8ae5_expint,conversation_id,message_len,5bb2a0148f3bd70001e5633f_comparison,5bb2a0148f3bd70001e5633f_int,5bb2a0148f3bd70001e5633f_expint,5df63f3ce632e14403dfa80f_comparison,5df63f3ce632e14403dfa80f_int,5df63f3ce632e14403dfa80f_expint,doccano_id
0,1,2,3,777,1,1,2,2,0,4,3,58279
1,0,2,4,777,40,1,4,3,1,3,2,58280
2,1,2,3,777,44,1,3,4,0,3,3,58281
3,0,1,1,777,8,0,1,4,0,4,3,58282
4,1,1,2,777,8,0,1,4,0,1,2,58283
5,1,2,1,777,18,1,2,4,0,2,4,58284
6,1,3,2,777,72,1,4,4,0,1,3,58285
7,1,1,3,777,109,1,4,3,1,4,4,58286
8,0,3,3,777,39,1,4,2,0,3,2,58287
9,1,3,2,777,31,0,4,2,0,3,2,58288
10,0,0,3,777,11,1,3,2,0,3,1,58289
11,1,2,4,214,5,1,1,3,1,3,2,58291
12,0,2,4,214,10,0,4,2,0,4,2,58292
13,1,3,1,214,16,1,3,3,1,2,2,58293
14,0,2,4,214,12,1,1,4,0,2,1,58294
15,1,3,3,214,17,1,0,0,0,3,1,58295
16,1,4,1,214,4,0,3,2,0,1,2,58296
17,1,2,3,214,58,0,4,0,0,3,0,58297
18,1,4,1,214,4,0,1,2,0,0,2,58298
19,0,2,3,214,2,0,0,1,0,1,1,58299
20,1,3,1,214,9,0,4,4,0,3,4,58300
21,1,3,1,214,10,1,3,4,0,2,4,58301
22,1,3,1,214,23,0,2,4,1,3,2,58302
23,0,2,3,214,10,0,1,0,1,3,2,58303
24,0,2,1,214,5,1,0,0,1,2,2,58304
25,1,2,0,214,9,1,0,0,1,1,3,58305
26,1,3,0,214,7,1,0,2,0,2,3,58306
27,1,4,1,214,18,1,3,2,0,3,2,58307
28,1,3,1,214,6,0,1,4,1,2,1,58308
29,0,3,3,214,9,0,4,4,1,4,3,58309
30,0,2,4,214,3,0,3,1,0,1,2,58310
31,1,3,1,214,6,1,3,1,1,3,3,58311
32,0,3,4,214,6,0,2,4,0,2,3,58312
33,1,4,0,214,3,0,2,4,0,2,3,58313
34,0,3,4,214,9,0,4,2,1,4,4,58314
35,1,3,2,214,4,0,4,3,0,2,4,58315
36,1,4,0,214,15,0,0,4,1,0,3,58316
37,0,1,4,214,5,0,4,4,0,4,4,58317
38,1,3,1,214,13,1,4,4,1,3,3,58318
39,1,4,0,214,9,1,4,4,1,1,2,58319
40,1,2,1,214,1,0,2,4,0,1,2,58320
41,0,2,3,214,2,0,1,3,0,1,1,58321
42,0,2,2,214,3,0,4,4,0,1,0,58322
43,1,3,0,214,11,0,0,4,1,0,2,58323
44,0,3,3,214,7,1,4,4,0,2,2,58324
45,0,2,4,214,24,0,3,1,0,4,3,58325
46,1,2,0,214,5,1,1,1,1,1,0,58326
47,0,3,4,214,2,1,2,3,0,1,2,58327
48,1,3,0,214,4,0,2,4,0,2,3,58328
49,1,3,0,214,2,1,1,4,0,1,2,58329
50,1,4,2,214,4,1,2,2,1,2,2,58330
51,0,4,3,214,2,1,1,3,0,1,2,58331
52,1,4,1,214,9,1,3,2,1,3,2,58332
53,0,2,1,214,18,0,0,1,1,2,1,58333
54,1,2,1,214,2,0,2,0,0,0,1,58334
55,1,3,1,214,3,0,2,4,0,1,2,58335
56,0,3,3,214,7,1,4,4,0,3,3,58336
57,0,2,3,214,3,0,1,2,0,1,1,58337
58,1,1,1,214,4,0,3,0,0,3,1,58338
59,0,3,4,214,3,0,4,4,0,3,2,58339
60,0,2,4,214,5,0,4,4,0,2,2,58340
61,0,3,4,214,2,0,2,2,0,3,2,58341
62,1,2,1,214,2,0,2,1,0,1,2,58342
63,0,3,4,214,10,1,3,2,0,4,2,58343
64,1,2,1,214,10,1,3,2,1,3,3,58344
65,0,3,4,214,1,0,0,0,0,1,2,58345
66,1,3,1,214,2,0,1,0,0,1,3,58346
67,1,2,0,214,6,0,4,1,0,3,2,58347
68,0,3,4,214,4,0,3,3,0,3,2,58348
69,1,3,1,214,5,1,2,2,1,2,2,58349
70,0,3,1,214,6,0,0,0,0,2,2,58350
71,0,2,2,214,2,0,1,0,0,2,2,58351
72,0,3,2,214,1,0,2,3,1,1,1,58352
73,0,2,3,214,2,0,1,0,0,2,2,58353
74,1,3,2,214,8,0,2,0,0,3,2,58354
75,0,4,4,214,7,0,3,0,0,2,2,58355
76,1,1,4,092,3,1,1,4,0,1,1,58357
77,1,1,2,092,5,0,2,4,0,3,2,58358
78,0,3,4,092,13,0,3,4,0,2,1,58359
79,0,2,3,092,20,0,4,2,0,4,3,58360
80,0,2,4,092,4,0,1,2,0,3,3,58361
81,0,3,4,092,6,0,4,4,0,3,3,58362
82,1,0,0,092,1,1,1,1,0,1,1,58363
83,1,1,1,092,4,0,3,3,0,3,2,58364
84,1,1,2,092,19,0,4,2,1,4,3,58365
85,0,1,4,092,3,0,3,2,0,3,1,58366
86,0,4,4,092,10,0,4,3,0,3,1,58367
87,0,3,4,092,6,0,2,3,0,3,3,58368
88,0,2,4,092,6,1,3,3,0,3,3,58369
89,0,2,2,092,5,0,4,4,0,2,2,58370
90,0,2,4,092,16,1,4,4,0,4,2,58371
91,0,3,4,092,6,0,3,4,0,3,2,58372
92,0,3,3,092,3,0,1,2,0,1,2,58373
93,0,2,4,092,18,0,3,2,0,3,3,58374
94,1,1,2,092,9,1,1,4,0,3,3,58375
95,0,2,1,092,8,0,1,1,0,2,2,58376
96,1,1,1,092,19,1,3,4,0,3,2,58377
97,0,3,4,092,4,1,0,3,0,1,1,58378
98,0,3,4,092,16,0,4,3,0,4,3,58379
99,1,2,3,092,4,1,3,3,0,4,2,58380
100,0,1,4,092,28,0,4,2,0,4,4,58381
101,0,1,3,092,15,0,3,3,0,3,2,58382
102,0,4,4,092,5,0,4,4,0,2,2,58383
103,0,3,4,092,20,0,4,4,0,4,3,58384
104,0,3,4,092,10,0,4,4,0,4,3,58385
105,1,2,2,092,7,0,3,2,1,2,2,58386
106,1,3,1,092,9,0,4,4,0,3,2,58387
107,0,3,4,092,21,0,4,4,0,4,3,58388
108,0,3,3,092,22,0,4,4,0,3,2,58389
109,1,2,3,092,16,0,4,4,0,3,2,58390
110,0,1,4,092,4,0,4,4,0,3,3,58391
111,0,2,4,092,7,0,2,2,0,2,2,58392
112,1,3,2,092,10,1,4,2,0,3,2,58393
113,0,2,4,092,26,0,4,1,0,4,2,58394
114,0,2,4,092,6,0,4,2,0,3,2,58395
115,0,3,4,092,3,0,4,3,0,1,1,58396
116,0,2,4,092,16,0,4,2,0,3,2,58397
117,0,1,4,092,10,0,4,1,0,2,2,58398
118,0,2,4,092,7,0,4,4,0,2,2,58399
119,0,1,3,092,11,0,4,1,0,3,2,58400
120,1,1,1,092,6,0,2,0,0,4,2,58401
121,1,2,2,092,8,0,1,2,0,3,2,58402
122,0,2,4,092,5,0,3,2,0,3,2,58403
123,0,2,4,092,14,1,4,1,1,2,2,58404
124,1,1,1,092,11,1,1,1,0,2,1,58405
125,0,3,4,092,2,0,3,0,0,1,1,58406
126,0,3,4,092,10,0,3,3,0,2,1,58407
127,0,3,4,092,8,0,4,3,0,2,1,58408
128,1,0,1,092,21,0,4,2,1,2,1,58409
129,1,1,3,092,11,0,3,1,0,3,1,58410
130,0,1,4,092,2,0,4,0,0,2,1,58411
131,0,3,1,199,7,0,4,4,0,2,2,58413
132,1,3,3,199,12,1,4,3,1,3,2,58414
133,0,4,4,199,7,1,4,3,1,3,2,58415
134,1,3,1,199,28,0,0,1,0,2,2,58416
135,1,3,0,199,16,1,2,2,1,3,3,58417
136,0,4,3,199,14,1,4,3,0,4,3,58418
137,1,2,1,199,9,1,4,1,0,2,3,58419
138,0,3,4,199,9,0,4,3,0,2,2,58420
139,1,3,1,199,2,1,0,0,0,1,2,58421
140,0,3,4,199,2,0,2,3,0,2,2,58422
141,1,4,1,199,5,0,3,2,0,2,2,58423
142,1,4,2,199,16,1,1,1,1,2,2,58424
143,1,3,1,199,14,1,2,1,0,2,2,58425
144,0,3,3,199,4,0,1,0,0,2,2,58426
145,0,4,4,199,11,1,2,1,0,1,1,58427
146,0,4,4,199,16,0,4,2,1,3,2,58428
147,1,4,4,199,15,0,0,1,1,0,3,58429
148,0,3,4,199,22,1,3,4,1,2,3,58430
149,1,4,2,199,6,0,3,4,0,1,2,58431
150,1,4,2,199,11,0,4,3,0,2,2,58432
151,1,2,1,199,4,0,0,3,1,1,2,58433
152,0,4,4,199,15,0,4,3,0,2,4,58434
153,1,3,2,199,8,0,4,3,0,2,3,58435
154,0,3,2,199,9,0,4,4,0,2,3,58436
155,0,3,4,199,1,0,2,1,0,1,2,58437
156,1,2,2,199,8,1,3,2,0,1,1,58438
157,0,3,4,199,1,0,0,0,0,2,2,58439
158,0,4,4,199,1,0,2,4,0,1,2,58440
159,0,3,4,199,21,1,4,4,0,4,3,58441
160,1,4,1,199,8,0,4,4,0,3,2,58442
161,1,3,1,199,13,1,4,4,1,4,3,58443
162,0,3,3,199,1,0,0,4,0,1,2,58444
163,1,3,2,199,12,1,4,4,1,3,3,58445
164,1,2,1,199,29,1,3,4,0,2,3,58446
165,0,3,4,199,3,0,1,1,0,2,2,58447
166,1,2,2,199,4,0,3,2,0,2,2,58448
167,0,3,4,199,5,0,2,3,0,2,2,58449
168,1,2,0,199,16,0,4,4,1,3,2,58450
169,1,2,1,199,15,0,4,4,0,2,2,58451
170,1,1,0,199,5,1,3,1,0,2,3,58452
171,1,3,1,199,29,1,4,4,0,3,3,58453
172,1,3,0,199,10,0,2,1,0,2,3,58454
173,1,3,1,199,2,0,2,2,0,2,3,58455
174,0,4,4,199,4,0,4,4,0,3,2,58456
175,0,4,4,199,4,0,4,4,0,4,3,58457
176,1,3,2,199,15,0,4,4,0,3,2,58458
177,1,3,2,199,10,0,4,4,0,2,3,58459
178,0,2,3,199,5,0,4,4,0,4,3,58460
179,0,2,4,199,11,0,4,4,0,3,4,58461
180,1,2,2,199,4,1,4,4,0,3,3,58462
181,1,2,1,199,20,0,4,4,0,2,2,58463
182,1,2,1,199,9,0,3,4,0,2,2,58464
183,0,2,4,199,13,0,4,4,0,3,3,58465
184,0,2,3,199,12,0,3,4,0,4,2,58466
185,1,2,1,199,13,0,4,4,0,3,4,58467
186,1,2,2,199,12,0,4,4,0,2,2,58468
187,1,2,2,199,11,0,4,4,0,2,2,58469
188,0,2,4,199,3,0,3,0,0,3,4,58470
189,1,2,3,199,11,0,4,3,0,3,3,58471
190,1,3,1,199,16,1,4,4,0,3,4,58472
191,1,3,0,199,18,1,4,3,0,4,3,58473
192,0,3,4,199,3,0,3,3,0,4,3,58474
193,1,4,3,199,16,1,2,4,0,3,4,58475
194,0,3,2,199,12,0,3,4,0,4,3,58476
195,0,2,4,199,2,0,2,0,0,2,3,58477
196,0,3,4,199,1,0,3,0,0,2,3,58478
197,0,3,4,199,7,0,4,4,0,3,3,58479
198,1,3,1,199,3,0,3,1,0,3,3,58480
199,0,3,4,199,3,0,4,0,0,4,4,58481
200,0,3,3,199,2,0,4,0,0,3,4,58482
201,0,4,4,199,7,0,4,0,0,3,3,58483
202,0,3,4,190,1,0,4,4,0,1,2,58485
203,0,4,4,190,5,0,4,4,0,2,2,58486
204,0,4,4,190,9,0,4,4,0,4,3,58487
205,0,4,4,190,13,0,4,4,0,4,4,58488
206,0,4,4,190,27,0,4,4,0,4,4,58489
207,1,3,2,190,28,1,3,3,0,4,4,58490
208,1,3,2,190,24,0,4,4,0,4,4,58491
209,0,3,2,190,16,0,4,3,0,4,4,58492
210,0,3,4,190,19,0,4,4,0,4,4,58493
211,0,2,4,190,10,0,4,4,0,3,4,58494
212,0,3,4,190,9,0,4,4,0,2,3,58495
