,5de440d3400de40285c01263_comparison,5de440d3400de40285c01263_int,5de440d3400de40285c01263_expint,conversation_id,message_len,5e7a5584718c83035a42519c_comparison,5e7a5584718c83035a42519c_int,5e7a5584718c83035a42519c_expint,6030119a4403b3e1f92a756a_comparison,6030119a4403b3e1f92a756a_int,6030119a4403b3e1f92a756a_expint,doccano_id
0,0,2,3,190,1,0,1,1,0,1,1,58497
1,0,2,3,190,5,0,4,3,0,2,1,58498
2,0,4,4,190,9,0,4,4,0,2,2,58499
3,0,3,3,190,13,1,4,2,0,2,1,58500
4,0,2,3,190,27,0,3,3,0,3,2,58501
5,1,2,3,190,28,1,3,2,0,2,2,58502
6,0,3,4,190,24,1,4,4,0,3,2,58503
7,1,2,3,190,16,1,4,2,0,2,2,58504
8,0,4,3,190,19,1,4,2,0,3,2,58505
9,0,3,2,190,10,0,3,2,0,2,2,58506
10,0,2,2,190,9,0,4,3,0,2,2,58507
11,1,2,1,212,4,1,0,0,1,1,1,58509
12,1,0,1,212,3,1,2,2,1,1,1,58510
13,1,2,3,212,21,1,2,1,1,1,1,58511
14,0,2,1,212,5,1,3,3,0,2,1,58512
15,0,2,3,212,21,1,1,1,0,1,1,58513
16,0,1,1,212,1,0,3,2,0,2,2,58514
17,0,1,1,212,4,0,3,4,0,2,1,58515
18,1,2,1,212,11,1,2,1,0,2,1,58516
19,0,2,1,212,5,1,3,3,0,2,2,58517
20,1,2,2,212,15,1,3,3,1,2,2,58518
21,0,3,3,212,11,0,4,3,0,2,2,58519
22,1,3,3,212,30,0,3,4,0,2,2,58520
23,1,2,3,212,9,1,3,2,1,2,2,58521
24,1,2,2,212,15,1,4,3,0,2,2,58522
25,1,1,2,212,9,1,3,3,0,2,2,58523
26,0,1,3,212,2,0,4,2,0,2,2,58524
27,0,1,1,212,11,1,3,2,0,2,2,58525
28,1,1,1,212,4,1,3,3,0,2,2,58526
29,0,1,0,212,2,0,4,3,0,2,2,58527
30,1,1,2,212,12,0,4,4,0,2,3,58528
31,0,1,2,212,2,0,4,4,0,2,2,58529
32,1,1,1,212,3,0,4,3,0,2,2,58530
33,0,1,2,212,7,0,3,3,0,2,2,58531
34,0,2,1,212,10,0,2,3,0,2,2,58532
35,1,1,1,212,6,1,3,3,0,2,2,58533
36,0,2,1,212,10,1,3,1,0,2,2,58534
37,1,1,1,212,8,0,4,2,0,2,2,58535
38,0,2,2,212,8,1,3,2,0,2,2,58536
39,1,2,2,212,30,1,3,2,0,2,2,58537
40,0,0,0,212,1,0,2,4,0,1,1,58538
41,0,1,0,212,5,1,2,2,0,1,1,58539
42,0,1,1,212,1,0,3,3,0,2,1,58540
43,1,2,2,212,9,1,3,3,0,2,2,58541
44,0,2,1,212,5,0,3,3,0,2,2,58542
45,0,1,1,212,1,0,3,2,0,2,2,58543
46,0,2,1,212,5,0,2,3,0,2,2,58544
47,0,2,2,212,7,1,3,4,0,2,2,58545
48,0,2,2,212,12,0,4,3,0,2,2,58546
49,0,1,2,212,1,0,3,3,0,1,2,58547
50,0,1,1,212,2,0,4,4,0,1,1,58548
51,0,1,1,212,16,0,3,2,0,2,2,58549
52,0,1,2,212,4,0,4,3,0,2,2,58550
53,1,1,2,212,8,1,3,3,0,2,2,58551
54,0,1,0,212,7,1,3,4,0,2,2,58552
55,0,2,2,212,24,1,4,3,0,2,2,58553
56,0,2,1,212,5,0,3,3,0,2,1,58554
57,1,3,2,212,21,1,4,2,0,1,2,58555
58,0,1,0,212,2,0,4,4,0,1,2,58556
59,1,2,2,212,17,0,2,3,0,2,2,58557
60,1,2,2,212,28,1,3,3,0,3,2,58558
61,0,1,0,212,3,0,2,2,0,2,2,58559
62,1,2,1,195,6,1,1,1,1,2,2,58561
63,1,2,1,195,13,1,1,2,0,2,2,58562
