,60317fc2c8f6320ecde4bcb3_comparison,60317fc2c8f6320ecde4bcb3_int,60317fc2c8f6320ecde4bcb3_expint,conversation_id,message_len,5fc60be0227abc1b525a09a8_comparison,5fc60be0227abc1b525a09a8_int,5fc60be0227abc1b525a09a8_expint,5f4e13a9c6a7d0ae613da383_comparison,5f4e13a9c6a7d0ae613da383_int,5f4e13a9c6a7d0ae613da383_expint,doccano_id
0,1,0,0,777,1,1,1,2,1,2,2,65528
1,1,2,2,777,40,1,3,4,1,1,2,65529
2,1,1,2,777,44,1,2,1,0,2,2,65530
3,1,2,2,777,8,0,1,2,1,2,1,65531
4,1,0,1,777,8,0,0,0,1,1,1,65532
5,1,1,1,777,18,0,4,3,1,2,2,65533
6,1,2,1,777,72,1,3,3,1,1,1,65534
7,1,0,1,777,109,1,4,4,1,1,1,65535
8,1,1,2,777,39,1,4,3,1,1,1,65536
9,1,2,2,777,31,1,3,4,1,1,2,65537
10,1,3,2,777,11,1,3,3,1,2,2,65538
11,0,4,4,110,2,0,1,1,0,1,1,65540
12,0,4,4,110,11,0,1,2,1,1,1,65541
13,0,4,4,110,23,1,2,2,0,2,2,65542
14,0,4,4,110,3,0,2,2,0,2,2,65543
15,0,4,4,110,3,1,2,2,1,1,1,65544
16,0,4,4,110,14,1,2,2,0,2,2,65545
17,0,4,4,110,15,1,2,2,1,1,1,65546
18,0,4,4,110,15,0,2,3,0,2,2,65547
19,0,3,4,110,16,0,2,3,0,2,2,65548
20,0,4,4,110,7,0,2,2,0,1,1,65549
21,1,4,4,110,25,0,2,1,1,2,2,65550
22,1,2,3,110,22,0,2,2,0,2,2,65551
23,1,3,3,110,10,0,2,1,1,1,1,65552
24,1,3,3,110,12,0,1,1,1,0,0,65553
25,1,3,3,110,10,0,1,2,0,1,1,65554
26,1,3,3,110,3,1,1,1,1,1,1,65555
27,1,3,3,110,11,1,2,1,1,1,1,65556
28,1,4,4,110,30,0,3,2,0,2,2,65557
29,0,4,4,110,21,1,3,1,0,2,2,65558
30,0,4,4,110,2,0,1,1,0,1,1,65559
31,0,4,4,110,41,1,2,2,0,1,1,65560
32,0,3,4,110,12,0,2,1,0,1,1,65561
33,0,3,3,110,15,1,2,2,0,2,2,65562
34,0,3,3,110,26,0,2,2,0,2,2,65563
35,1,3,3,110,26,0,2,1,0,1,1,65564
36,1,4,3,110,18,1,2,2,1,3,3,65565
37,1,3,3,110,21,0,3,1,0,1,1,65566
38,0,3,3,110,25,0,2,2,0,1,1,65567
39,1,2,3,110,14,0,1,2,0,3,3,65568
40,1,2,3,110,18,0,2,2,0,3,3,65569
41,0,3,3,110,32,0,3,3,0,1,1,65570
42,0,3,3,110,32,0,4,3,0,1,1,65571
43,0,3,3,110,37,1,3,3,0,2,2,65572
44,0,3,3,110,43,0,3,3,0,2,2,65573
45,0,3,3,110,8,0,2,1,0,1,1,65574
46,1,3,3,110,15,1,3,2,0,1,1,65575
47,1,3,3,110,14,0,2,2,0,1,1,65576
48,1,3,3,110,23,1,3,2,0,2,2,65577
49,0,3,3,110,12,1,2,2,0,2,2,65578
50,0,4,3,110,4,0,1,1,0,1,1,65579
51,0,3,3,110,16,0,1,1,0,3,3,65580
52,0,3,3,110,6,0,2,2,0,2,2,65581
53,1,3,3,110,12,1,2,3,0,3,2,65582
54,0,3,3,110,60,0,4,3,0,3,3,65583
55,0,3,3,110,11,0,2,2,0,2,2,65584
56,1,2,3,110,13,0,2,2,0,1,1,65585
57,0,2,3,110,7,0,3,2,0,2,2,65586
58,0,3,3,110,12,0,1,2,0,1,1,65587
59,0,3,3,110,7,0,1,1,0,1,1,65588
60,1,3,3,110,26,0,3,2,0,2,1,65589
61,1,3,3,110,10,0,2,1,0,1,1,65590
62,1,3,3,110,14,0,2,2,0,2,2,65591
