,5d8346167ed176001888204d_comparison,5d8346167ed176001888204d_int,5d8346167ed176001888204d_expint,conversation_id,message_len,5f117f2b69f65101263bf8d0_comparison,5f117f2b69f65101263bf8d0_int,5f117f2b69f65101263bf8d0_expint,611a78efa6c36a674dc40cc6_comparison,611a78efa6c36a674dc40cc6_int,611a78efa6c36a674dc40cc6_expint,doccano_id
0,0,1,1,190,1,1,1,2,0,2,2,62961
1,0,1,1,190,5,0,4,4,0,2,2,62962
2,0,2,1,190,9,0,4,4,0,3,3,62963
3,0,2,1,190,13,0,4,0,0,3,3,62964
4,0,3,1,190,27,0,4,2,0,4,3,62965
5,0,2,0,190,28,0,4,1,0,4,3,62966
6,0,2,1,190,24,0,4,0,0,3,3,62967
7,0,1,1,190,16,1,4,2,0,3,3,62968
8,0,2,1,190,19,0,4,0,0,4,3,62969
9,0,1,0,190,10,0,4,0,0,3,3,62970
10,0,2,2,190,9,0,4,2,0,3,3,62971
11,0,1,1,201,7,0,4,0,0,2,2,62973
12,0,0,0,201,12,1,4,2,0,2,2,62974
13,0,1,1,201,7,0,2,2,0,3,2,62975
14,0,1,1,201,9,0,2,1,0,3,2,62976
15,1,1,1,201,10,0,2,0,0,3,2,62977
16,0,1,1,201,13,1,4,1,0,3,2,62978
17,0,2,2,201,27,1,2,3,0,3,2,62979
18,0,2,1,201,35,0,2,0,0,3,2,62980
19,1,3,3,201,16,1,1,0,1,2,2,62981
20,0,2,2,201,8,0,2,1,0,2,2,62982
21,0,1,1,201,8,0,2,2,0,2,2,62983
22,0,1,0,201,12,1,3,0,0,3,3,62984
23,0,1,1,201,12,1,1,0,0,2,2,62985
24,0,1,1,201,12,0,1,3,0,2,2,62986
25,0,2,1,201,10,0,2,1,1,2,2,62987
26,1,1,1,201,12,1,1,1,0,2,2,62988
27,0,1,0,201,12,0,2,0,1,2,2,62989
28,0,1,1,201,9,1,2,4,1,2,2,62990
29,0,2,2,201,7,0,1,3,0,2,2,62991
30,0,2,1,201,9,0,1,1,0,2,2,62992
31,0,1,0,201,12,0,2,0,0,2,2,62993
32,0,2,1,201,9,1,1,2,0,2,2,62994
33,0,2,1,201,4,1,3,2,0,2,2,62995
34,0,2,2,201,5,0,2,3,0,2,2,62996
35,0,2,2,201,8,0,2,2,1,2,2,62997
36,0,1,0,201,12,0,1,0,0,2,2,62998
37,0,2,0,201,13,0,2,2,0,2,2,62999
38,0,2,1,201,17,0,2,2,0,2,2,63000
39,0,1,0,201,12,0,1,3,0,2,2,63001
40,0,2,1,201,7,0,2,4,0,2,2,63002
41,0,1,1,201,5,0,1,3,1,2,2,63003
42,0,2,2,201,9,1,3,3,0,2,2,63004
43,0,1,0,201,12,0,2,4,0,2,2,63005
44,0,1,0,201,12,1,3,2,0,2,2,63006
45,0,2,2,201,14,0,3,3,0,2,2,63007
46,0,2,2,201,10,0,2,4,1,2,2,63008
47,0,2,2,201,10,0,2,3,1,2,2,63009
48,0,2,2,201,14,0,2,3,1,2,2,63010
49,0,2,2,201,12,1,3,2,1,2,2,63011
50,1,2,2,201,10,0,2,3,0,2,2,63012
51,0,2,0,201,12,0,2,3,0,2,2,63013
52,1,2,2,201,7,0,4,3,0,2,2,63014
53,0,2,2,201,8,0,1,2,0,3,2,63015
54,0,2,2,201,6,0,2,3,0,2,2,63016
55,0,1,0,201,12,0,1,2,0,2,2,63017
56,1,1,0,201,12,0,1,3,0,2,2,63018
57,1,2,1,020,5,0,2,3,0,2,2,63020
58,1,2,3,020,31,1,2,2,0,2,2,63021
59,1,1,1,020,3,0,1,2,1,2,2,63022
60,1,2,3,020,30,0,3,2,0,3,2,63023
61,1,2,2,020,22,1,2,4,0,2,2,63024
62,1,2,2,020,20,0,3,3,0,2,2,63025
63,1,2,2,020,25,1,4,3,0,2,2,63026
64,0,2,3,020,30,0,3,3,0,2,2,63027
65,0,2,2,020,41,0,3,4,0,2,2,63028
66,1,3,3,020,31,0,3,3,0,2,2,63029
67,0,2,2,020,19,0,4,3,0,2,2,63030
68,0,2,2,020,9,0,1,3,0,2,2,63031
69,1,3,3,020,11,0,4,0,0,2,2,63032
70,0,3,3,020,4,0,2,3,0,2,2,63033
71,0,2,3,020,12,0,1,1,0,2,2,63034
72,1,3,3,020,30,1,3,0,0,2,2,63035
73,0,3,3,020,47,1,3,3,1,2,2,63036
74,0,3,3,020,28,0,2,3,0,3,2,63037
75,0,3,3,020,30,0,2,3,0,2,2,63038
76,1,3,3,020,25,0,2,3,0,3,2,63039
77,1,2,2,020,3,1,3,3,0,3,2,63040
78,1,3,3,020,31,0,2,3,0,3,2,63041
79,1,3,3,020,18,0,4,3,0,3,3,63042
80,0,2,1,020,30,0,1,3,0,2,2,63043
81,1,3,3,020,57,1,0,1,0,3,2,63044
82,1,2,2,020,8,0,2,3,0,2,2,63045
83,1,2,2,020,6,1,2,2,0,2,2,63046
84,1,2,2,020,23,1,3,3,0,3,2,63047
85,0,2,2,020,12,0,2,3,0,3,3,63048
86,1,3,3,020,23,0,4,3,0,3,2,63049
87,0,2,2,020,32,0,3,3,0,2,2,63050
88,1,3,3,020,6,1,3,3,0,2,2,63051
89,1,3,3,020,22,0,4,4,0,2,2,63052
90,1,3,3,020,21,1,3,3,0,2,2,63053
91,0,2,2,020,23,0,4,4,0,2,2,63054
92,1,2,2,020,4,1,4,3,0,2,2,63055
93,1,3,3,020,48,0,2,3,1,3,2,63056
94,0,2,2,020,12,0,1,3,0,2,2,63057
95,1,3,3,020,12,0,0,2,0,2,2,63058
96,0,3,3,020,18,1,1,1,0,2,2,63059
97,1,2,2,020,15,0,1,3,0,2,2,63060
98,1,2,2,020,20,1,1,2,0,2,2,63061
99,0,1,1,126,3,0,3,1,0,2,2,63063
100,0,2,1,126,10,0,1,2,0,3,2,63064
101,0,2,2,126,17,0,3,3,0,3,2,63065
102,1,1,1,126,6,0,3,4,0,3,2,63066
103,1,1,1,126,3,1,3,3,1,2,2,63067
104,1,2,2,126,3,0,3,4,0,2,2,63068
105,1,3,3,126,54,0,4,4,0,4,2,63069
106,1,2,2,126,10,1,2,3,0,2,2,63070
107,1,3,3,126,53,0,1,3,0,4,2,63071
108,1,3,3,126,23,0,2,3,1,3,2,63072
109,0,3,3,126,14,0,1,2,0,3,2,63073
110,1,3,3,126,22,0,1,2,0,3,2,63074
111,1,3,3,126,28,0,2,3,0,3,2,63075
112,1,2,2,126,11,0,1,2,0,2,2,63076
113,1,3,3,126,32,0,3,4,0,2,2,63077
114,1,2,2,126,11,0,3,4,0,3,2,63078
115,0,2,3,126,23,0,3,4,0,3,2,63079
116,0,2,2,126,7,0,1,2,0,3,2,63080
117,0,2,2,126,8,0,3,3,0,3,2,63081
118,0,2,2,126,4,0,4,4,0,2,2,63082
119,1,3,3,126,52,0,4,4,0,3,2,63083
120,1,3,3,126,36,0,3,4,0,4,2,63084
121,1,2,3,126,15,0,1,3,0,3,2,63085
122,0,2,2,126,6,0,4,4,0,2,2,63086
123,0,2,2,126,20,0,4,4,0,3,2,63087
124,0,2,2,126,20,1,3,0,0,2,2,63088
125,0,3,3,126,21,0,1,3,0,3,2,63089
126,1,2,2,126,56,0,2,2,0,3,2,63090
127,1,2,2,126,26,0,4,2,0,3,2,63091
128,0,2,2,126,10,0,3,4,0,3,2,63092
129,1,2,3,126,32,0,2,3,0,4,2,63093
130,1,3,2,126,38,0,4,4,0,4,2,63094
131,0,2,2,126,5,0,1,2,0,3,2,63095
132,0,2,2,126,2,0,2,3,0,3,2,63096
133,1,2,2,126,2,0,3,3,0,2,2,63097
134,0,2,2,126,24,0,1,2,0,3,2,63098
135,0,2,3,126,15,0,1,3,0,3,2,63099
136,0,2,3,126,8,0,4,4,0,3,2,63100
137,0,2,2,126,6,0,4,4,0,3,2,63101
138,0,2,2,126,12,0,2,0,0,4,2,63102
139,0,2,2,126,8,0,1,2,0,3,2,63103
140,0,3,3,126,60,0,2,3,0,4,2,63104
141,0,2,2,126,10,0,3,4,0,3,2,63105
142,0,2,2,126,20,0,1,3,0,3,2,63106
143,0,2,2,126,22,0,0,2,0,3,2,63107
144,0,3,3,126,20,0,4,3,0,3,2,63108
145,0,2,2,126,13,1,1,4,0,3,2,63109
146,0,3,3,126,10,1,2,3,0,3,2,63110
147,1,2,3,126,14,1,2,3,0,3,2,63111
148,0,2,3,126,41,1,3,3,0,3,2,63112
149,0,2,2,126,22,0,1,3,0,3,2,63113
150,0,2,2,126,13,1,4,3,0,3,2,63114
151,0,2,2,126,23,1,4,4,0,2,2,63115
152,0,2,3,126,13,0,3,4,0,3,2,63116
153,0,2,2,126,22,1,3,0,0,3,2,63117
154,0,3,3,126,25,1,4,0,0,4,2,63118
155,0,2,2,126,7,0,2,3,0,3,2,63119
156,0,2,2,126,12,0,1,3,0,2,2,63120
157,0,3,3,126,8,1,0,1,0,3,2,63121
158,0,2,2,126,8,0,0,2,0,3,2,63122
159,0,2,2,126,12,1,3,3,0,3,2,63123
160,0,2,3,126,35,0,3,4,0,3,2,63124
161,0,2,2,126,49,0,4,3,0,2,2,63125
162,1,2,2,126,31,1,4,2,0,2,2,63126
