,613d091096ca434d703f77c5_comparison,613d091096ca434d703f77c5_int,613d091096ca434d703f77c5_expint,conversation_id,message_len,5c6ed5ea21a3560001bd3758_comparison,5c6ed5ea21a3560001bd3758_int,5c6ed5ea21a3560001bd3758_expint,6071d42438f4fc44ff6b54c5_comparison,6071d42438f4fc44ff6b54c5_int,6071d42438f4fc44ff6b54c5_expint,doccano_id
0,0,1,1,190,1,0,1,1,0,2,3,63334
1,0,2,3,190,5,1,1,2,1,3,1,63335
2,0,3,3,190,9,0,3,3,0,1,2,63336
3,0,4,3,190,13,0,3,3,0,4,4,63337
4,0,4,4,190,27,0,3,3,0,2,4,63338
5,1,2,2,190,28,0,4,3,1,4,3,63339
6,0,4,4,190,24,0,3,2,1,1,2,63340
7,1,3,3,190,16,0,3,3,0,4,1,63341
8,1,2,2,190,19,0,3,3,0,4,3,63342
9,1,3,1,190,10,0,3,4,1,4,1,63343
10,0,3,3,190,9,0,2,3,1,1,2,63344
11,1,1,2,117,2,0,0,2,1,1,3,63346
12,1,2,1,117,8,0,1,2,1,1,4,63347
13,1,2,1,117,5,1,2,2,0,3,3,63348
14,1,3,2,117,4,1,2,2,1,4,3,63349
15,0,2,1,117,12,0,3,3,0,0,3,63350
16,1,2,0,117,9,0,3,2,0,4,3,63351
17,1,2,1,117,9,0,3,3,1,2,1,63352
18,0,2,1,117,11,0,2,2,1,1,4,63353
19,1,2,0,117,7,0,2,3,1,2,1,63354
20,1,3,2,117,17,0,3,3,1,2,2,63355
21,1,3,0,117,19,0,3,3,0,1,2,63356
22,1,2,0,117,8,0,2,2,1,1,2,63357
23,1,3,0,117,23,0,3,3,0,3,3,63358
24,1,3,1,117,11,0,3,2,1,4,3,63359
25,1,0,3,117,12,0,2,0,0,4,3,63360
26,1,0,2,117,9,0,2,2,0,4,1,63361
27,1,2,3,117,14,0,3,3,1,4,3,63362
28,1,1,2,117,12,0,3,2,1,3,3,63363
29,1,0,2,117,17,0,3,3,1,4,2,63364
30,1,1,2,117,12,0,3,3,1,4,2,63365
31,0,2,2,117,5,1,2,3,1,1,3,63366
32,1,1,3,117,17,0,4,3,1,2,3,63367
33,0,1,1,117,12,0,1,2,1,2,1,63368
34,1,0,3,117,8,0,4,3,1,2,3,63369
35,1,1,3,117,8,1,3,4,0,3,4,63370
36,1,0,2,117,8,1,1,1,1,1,3,63371
37,1,1,4,117,5,0,3,3,0,2,2,63372
38,0,3,2,117,5,1,2,1,1,2,3,63373
39,0,2,2,117,12,1,2,4,0,0,2,63374
40,1,0,4,117,14,0,3,2,1,3,2,63375
41,1,1,2,117,4,0,1,3,1,3,2,63376
42,1,1,4,117,17,0,4,3,1,1,3,63377
43,1,0,3,117,21,0,4,3,1,4,4,63378
44,1,0,4,117,13,0,1,2,1,3,2,63379
45,0,3,1,117,8,1,2,3,1,3,2,63380
46,1,1,3,117,16,1,2,3,1,3,3,63381
47,1,0,2,117,2,0,1,2,0,1,3,63382
48,0,1,1,117,2,0,2,2,1,2,3,63383
49,0,2,1,117,4,0,3,2,1,2,1,63384
50,1,0,3,117,4,0,1,2,1,2,1,63385
51,0,3,1,117,7,0,2,1,1,3,2,63386
52,0,2,0,117,11,0,2,2,1,1,1,63387
53,0,4,0,117,10,0,3,4,0,2,3,63388
54,0,2,0,117,23,0,3,2,0,3,3,63389
55,0,2,1,117,10,1,1,2,1,1,4,63390
56,1,3,1,117,3,1,1,4,0,1,3,63391
57,0,2,2,117,6,0,3,3,0,3,4,63392
58,0,3,1,117,15,1,4,3,1,3,2,63393
59,1,0,1,117,19,0,4,3,1,3,4,63394
60,0,3,0,117,7,0,3,3,1,4,3,63395
61,1,0,1,117,11,0,4,4,0,3,2,63396
62,1,0,1,117,13,1,4,4,1,1,4,63397
63,0,2,1,117,1,0,1,3,1,0,2,63398
64,0,4,2,117,4,1,1,3,1,3,2,63399
65,0,3,1,117,9,0,4,3,0,2,3,63400
66,1,2,1,117,8,0,4,3,0,4,3,63401
67,0,2,1,117,10,1,3,4,0,3,2,63402
68,1,0,3,117,14,1,4,3,1,3,2,63403
69,0,3,0,117,23,0,4,4,0,4,2,63404
70,0,3,0,117,11,0,2,3,1,0,3,63405
71,1,1,3,117,6,1,2,3,1,3,4,63406
72,1,0,1,117,10,0,4,4,1,3,2,63407
