,5ecd7b06a1a9170e7806f51e_comparison,5ecd7b06a1a9170e7806f51e_int,5ecd7b06a1a9170e7806f51e_expint,conversation_id,message_len,5f5e7de4c81d3672642cd612_comparison,5f5e7de4c81d3672642cd612_int,5f5e7de4c81d3672642cd612_expint,5ffdf54a500d7740e02f3639_comparison,5ffdf54a500d7740e02f3639_int,5ffdf54a500d7740e02f3639_expint,doccano_id
0,0,2,3,190,1,0,1,1,1,1,0,64448
1,0,3,3,190,5,0,2,2,0,2,2,64449
2,0,3,4,190,9,0,3,2,0,3,3,64450
3,0,3,3,190,13,0,3,2,0,3,3,64451
4,0,3,4,190,27,0,2,3,0,3,3,64452
5,0,3,2,190,28,1,1,0,0,3,3,64453
6,0,2,2,190,24,0,3,2,0,3,3,64454
7,0,3,3,190,16,1,2,1,0,3,3,64455
8,0,3,3,190,19,0,1,1,0,3,3,64456
9,0,3,3,190,10,0,1,1,0,3,3,64457
10,0,2,3,190,9,0,2,1,0,3,2,64458
11,1,1,3,117,6,1,0,0,0,2,1,64460
12,0,3,3,117,18,0,1,1,0,2,1,64461
13,0,3,3,117,28,0,0,2,0,3,2,64462
14,0,2,4,117,15,1,0,0,0,0,0,64463
15,0,3,3,117,13,1,0,0,0,0,0,64464
16,0,3,3,117,30,1,0,1,0,2,1,64465
17,1,3,3,117,21,1,1,1,0,2,1,64466
18,0,3,3,117,28,1,1,1,0,2,1,64467
19,0,3,3,117,10,1,0,0,0,2,1,64468
20,1,4,4,117,27,0,1,1,0,2,1,64469
21,0,4,4,117,36,0,0,1,0,2,1,64470
22,1,3,4,117,14,1,1,1,0,2,1,64471
23,1,4,3,117,42,0,1,1,0,2,1,64472
24,1,3,3,117,52,0,0,0,0,2,1,64473
25,0,3,3,117,11,1,0,0,0,2,1,64474
26,0,3,3,117,6,0,0,1,0,2,1,64475
27,0,4,3,117,13,0,1,0,0,2,1,64476
28,0,4,3,117,10,0,0,0,0,2,1,64477
29,1,3,4,117,21,0,1,1,0,2,1,64478
30,1,3,4,117,22,1,1,2,0,2,1,64479
31,1,3,4,117,16,1,0,0,0,2,2,64480
32,0,3,3,117,22,1,1,0,0,2,2,64481
33,0,3,2,117,4,0,0,0,0,2,1,64482
34,0,2,3,117,21,0,0,1,0,2,2,64483
35,1,2,2,117,5,0,1,0,1,2,1,64484
36,0,2,2,117,4,0,0,0,0,2,1,64485
37,0,2,2,117,12,1,0,0,0,3,2,64486
38,0,3,4,117,13,0,0,1,0,2,2,64487
39,0,3,4,117,17,0,0,1,0,2,1,64488
40,0,3,2,117,12,0,0,0,0,2,2,64489
41,0,3,3,117,16,1,0,2,1,2,1,64490
42,0,3,4,117,11,1,1,1,1,2,1,64491
43,0,2,3,117,15,1,0,1,1,2,1,64492
44,0,3,3,117,12,0,0,1,0,3,2,64493
45,0,4,3,117,18,0,1,2,0,3,2,64494
46,0,3,4,117,20,0,1,1,0,3,2,64495
47,0,3,3,117,20,0,0,2,0,2,1,64496
48,0,3,4,117,4,0,0,0,0,3,2,64497
49,0,4,2,117,28,1,1,2,0,2,1,64498
50,0,4,2,117,28,1,0,2,1,2,1,64499
51,0,3,2,117,17,0,1,1,0,2,1,64500
52,1,3,3,117,38,0,2,3,0,2,1,64501
53,0,3,4,117,11,1,1,1,0,3,2,64502
54,0,3,4,117,18,0,1,2,0,3,2,64503
55,0,3,2,117,18,0,0,1,0,2,2,64504
56,0,4,4,117,18,0,1,3,0,2,2,64505
57,0,4,4,117,15,0,1,2,0,2,1,64506
58,1,2,4,117,10,0,2,2,0,3,2,64507
59,0,1,1,117,3,0,1,2,0,3,2,64508
60,0,2,2,117,17,0,1,2,0,3,2,64509
61,0,1,2,117,5,0,1,1,0,2,1,64510
62,0,3,1,117,8,0,1,0,0,2,2,64511
63,1,2,1,117,2,1,0,0,0,3,2,64512
64,0,3,1,117,29,1,0,0,0,3,2,64513
65,0,3,1,117,18,1,1,2,0,3,3,64514
66,0,2,3,117,8,0,0,0,0,3,3,64515
67,0,3,4,117,8,0,0,0,0,3,3,64516
68,0,3,4,117,9,0,1,1,0,3,2,64517
69,0,3,3,117,12,0,0,0,0,2,2,64518
70,0,3,2,117,16,0,1,1,0,3,2,64519
71,0,2,2,117,14,0,0,1,0,2,1,64520
72,0,3,3,117,12,0,1,2,0,3,2,64521
73,0,3,3,117,15,0,1,1,0,3,2,64522
74,0,2,4,117,30,0,1,0,0,3,2,64523
75,0,3,3,117,34,0,1,0,0,2,1,64524
76,0,2,1,117,5,0,0,0,0,3,2,64525
77,0,3,4,117,47,1,1,3,0,3,2,64526
78,0,2,3,117,48,0,0,1,0,3,2,64527
79,1,3,3,117,6,0,1,2,0,2,2,64528
80,0,4,4,117,21,0,0,2,0,2,2,64529
81,0,3,4,117,18,0,0,0,0,2,2,64530
82,0,3,4,117,12,0,0,0,0,2,2,64531
83,0,3,4,117,21,0,1,1,0,3,2,64532
84,1,2,3,117,2,1,0,0,1,2,1,64533
85,1,3,3,117,8,1,0,1,1,2,2,64534
86,0,2,3,117,7,0,1,1,0,2,2,64535
87,0,3,3,117,26,0,0,0,0,2,2,64536
88,0,1,3,117,9,0,1,2,0,2,2,64537
89,0,3,3,117,8,1,0,1,1,2,2,64538
90,0,4,1,117,14,0,0,0,0,2,2,64539
91,1,4,1,117,6,0,0,0,0,2,2,64540
92,0,3,4,117,11,1,0,0,1,2,2,64541
93,0,1,1,117,10,0,0,0,0,3,2,64542
94,0,3,1,117,32,0,0,1,0,3,2,64543
95,0,3,4,117,15,0,1,1,0,3,2,64544
96,0,3,4,117,4,0,1,1,0,3,2,64545
97,1,2,4,180,10,1,1,1,0,3,3,64547
98,0,3,4,180,18,1,1,1,0,3,2,64548
99,0,3,4,180,24,0,0,1,1,2,2,64549
100,0,3,3,180,4,1,0,0,0,3,3,64550
101,0,4,4,180,24,1,0,0,0,3,3,64551
102,0,3,4,180,6,0,1,1,0,3,3,64552
103,0,3,4,180,11,0,2,1,0,3,3,64553
104,0,2,2,180,5,1,1,1,0,2,2,64554
105,0,3,3,180,12,1,1,1,0,3,2,64555
106,0,3,3,180,6,0,1,1,0,2,2,64556
107,0,3,4,180,11,0,1,1,0,3,2,64557
108,1,3,4,180,14,0,0,1,0,3,2,64558
109,0,4,4,180,20,0,1,0,0,3,2,64559
110,0,4,3,180,27,0,0,0,0,3,3,64560
111,0,4,4,180,17,0,0,0,0,2,2,64561
