,5efd146921bf49159fe2d166_comparison,5efd146921bf49159fe2d166_int,5efd146921bf49159fe2d166_expint,conversation_id,message_len,5f8f6afd0b55a11df912a5c9_comparison,5f8f6afd0b55a11df912a5c9_int,5f8f6afd0b55a11df912a5c9_expint,61139bc8479c2861f52c4a71_comparison,61139bc8479c2861f52c4a71_int,61139bc8479c2861f52c4a71_expint,doccano_id
0,1,0,0,777,1,1,3,3,0,1,0,64268
1,0,2,2,777,40,1,4,4,0,3,3,64269
2,0,1,2,777,44,1,3,3,0,2,2,64270
3,0,1,1,777,8,1,2,2,0,1,1,64271
4,0,3,3,777,8,1,2,1,1,1,1,64272
5,1,3,4,777,18,1,3,3,1,2,2,64273
6,0,3,4,777,72,1,2,1,1,2,2,64274
7,0,1,3,777,109,1,3,2,1,1,1,64275
8,0,2,3,777,39,1,2,2,1,2,1,64276
9,0,2,2,777,31,1,3,2,1,2,2,64277
10,0,1,0,777,11,1,2,2,1,0,1,64278
11,0,1,0,126,10,1,2,2,0,3,3,64280
12,0,3,3,126,9,1,3,3,1,4,4,64281
13,0,4,3,126,9,0,3,3,0,4,4,64282
14,0,3,1,126,6,1,2,2,1,4,3,64283
15,1,2,4,126,8,1,3,3,1,4,4,64284
16,1,2,3,126,17,1,2,2,1,3,1,64285
17,1,4,3,126,14,1,2,2,0,4,4,64286
18,1,3,0,126,12,1,3,3,0,3,1,64287
19,1,3,3,126,11,1,3,2,1,4,4,64288
20,1,4,3,126,8,1,3,2,0,4,4,64289
21,0,4,4,126,5,1,3,2,1,4,4,64290
22,0,3,3,126,9,1,2,2,0,3,3,64291
23,1,4,3,126,10,1,3,3,0,3,3,64292
24,0,4,4,126,13,0,2,2,0,3,3,64293
25,1,4,3,126,8,1,2,2,1,3,3,64294
26,0,3,2,126,9,1,3,2,0,4,4,64295
27,0,3,3,126,16,1,3,2,0,4,4,64296
28,0,4,4,126,12,1,3,3,0,4,4,64297
29,0,4,4,126,20,1,3,2,0,4,4,64298
30,0,4,2,126,12,0,2,2,0,4,4,64299
31,1,4,3,126,18,1,3,2,1,4,4,64300
32,0,4,3,126,4,1,2,2,0,4,4,64301
33,0,4,3,126,16,1,3,2,0,4,4,64302
34,0,4,3,126,12,0,3,2,0,4,4,64303
35,0,4,4,126,11,1,3,2,0,4,4,64304
36,0,4,3,126,26,1,3,2,0,4,4,64305
37,0,4,3,126,21,0,3,2,0,4,4,64306
38,0,4,3,126,12,0,3,2,0,4,4,64307
39,0,4,3,126,8,1,4,2,0,4,4,64308
40,1,4,3,126,14,1,3,2,1,4,4,64309
41,0,4,3,126,18,1,3,2,0,4,4,64310
42,0,4,4,126,6,0,3,2,0,4,4,64311
43,1,4,4,126,29,1,4,3,0,4,4,64312
44,0,4,4,126,11,1,4,2,0,4,4,64313
45,0,3,3,126,7,1,3,2,0,1,1,64314
46,0,3,2,126,12,1,2,2,0,2,2,64315
47,0,4,3,126,12,1,3,2,0,4,4,64316
48,0,3,4,126,17,1,3,2,0,3,3,64317
49,0,4,3,126,11,1,3,2,1,2,1,64318
50,1,3,3,126,8,1,3,2,1,2,1,64319
51,1,4,4,126,17,1,3,2,1,3,3,64320
52,1,4,3,126,6,1,3,2,0,3,3,64321
53,0,3,3,126,12,1,3,2,0,3,3,64322
54,0,4,3,126,10,1,3,2,0,3,3,64323
55,1,4,4,126,13,1,3,2,0,3,3,64324
56,1,4,4,126,13,1,3,2,1,4,3,64325
57,0,3,2,126,12,1,2,2,0,2,1,64326
58,0,3,3,126,12,1,2,2,0,3,1,64327
59,0,3,3,126,9,1,2,2,0,2,1,64328
60,0,4,3,126,8,1,3,2,0,3,3,64329
61,1,4,4,126,15,1,3,2,1,3,3,64330
62,1,2,2,126,4,1,3,2,1,4,4,64331
63,0,4,4,126,9,1,3,2,0,4,4,64332
64,0,4,4,126,12,0,3,2,0,4,4,64333
65,1,4,4,126,4,1,3,2,1,4,4,64334
66,0,4,3,126,21,1,3,2,0,4,4,64335
67,1,4,4,126,20,1,3,2,0,4,4,64336
68,1,4,3,126,9,1,3,2,1,4,4,64337
69,0,4,4,126,10,1,3,2,0,4,4,64338
