,606b84e11527ce2103add0a5_comparison,606b84e11527ce2103add0a5_int,606b84e11527ce2103add0a5_expint,conversation_id,message_len,601941db6605160008690742_comparison,601941db6605160008690742_int,601941db6605160008690742_expint,6171b1bc917dfe828a3130dd_comparison,6171b1bc917dfe828a3130dd_int,6171b1bc917dfe828a3130dd_expint,doccano_id
0,0,2,1,190,1,0,2,1,0,2,2,65724
1,1,2,2,190,5,0,2,2,0,2,4,65725
2,0,3,1,190,9,0,3,2,0,3,2,65726
3,0,1,1,190,13,0,3,2,0,2,3,65727
4,0,4,4,190,27,0,3,3,0,4,3,65728
5,1,1,0,190,28,0,3,2,1,3,2,65729
6,1,2,1,190,24,1,2,3,1,4,2,65730
7,0,2,2,190,16,1,2,2,1,1,2,65731
8,0,2,1,190,19,1,3,4,0,3,3,65732
9,0,2,0,190,10,0,3,2,0,4,3,65733
10,0,3,3,190,9,0,1,1,1,4,4,65734
11,0,0,0,009,12,1,0,0,0,0,0,65736
12,1,1,1,009,10,1,2,2,1,4,2,65737
13,1,3,3,009,10,0,3,3,1,3,2,65738
14,1,2,3,009,34,1,3,3,1,3,1,65739
15,1,3,3,009,19,1,1,1,1,2,2,65740
16,1,2,1,009,15,0,3,1,1,2,2,65741
17,1,3,4,009,10,0,2,1,1,2,3,65742
18,1,3,2,009,26,1,4,0,0,2,3,65743
19,1,1,2,009,22,1,2,0,0,3,3,65744
20,1,3,3,009,11,0,2,0,0,2,3,65745
21,1,0,2,009,10,1,2,2,1,1,3,65746
22,1,2,1,009,6,0,2,2,0,3,3,65747
23,0,4,2,009,9,1,3,3,0,3,3,65748
24,1,2,2,009,17,1,3,3,0,2,3,65749
25,0,2,2,009,7,1,3,3,1,3,3,65750
26,1,3,3,009,12,1,3,3,1,3,2,65751
27,1,2,3,009,6,0,2,2,0,2,3,65752
28,1,1,1,009,10,1,3,3,0,2,3,65753
29,1,3,3,009,15,0,4,3,0,2,2,65754
30,1,1,2,009,6,1,3,1,0,2,2,65755
31,1,1,2,009,9,0,3,3,1,2,2,65756
32,1,2,3,009,4,1,4,3,0,2,3,65757
33,1,2,2,009,10,0,3,4,0,3,3,65758
34,1,4,3,009,13,1,4,1,0,2,2,65759
35,0,2,2,009,3,0,1,1,0,1,3,65760
36,1,2,2,009,10,0,3,1,0,1,2,65761
37,0,2,2,009,12,0,3,2,1,1,1,65762
38,1,1,2,009,6,1,4,4,1,1,2,65763
39,1,1,0,009,6,0,1,0,0,2,3,65764
40,0,3,3,009,10,1,4,2,0,1,3,65765
41,0,3,2,009,17,1,2,2,1,2,3,65766
42,1,1,1,009,4,0,1,3,1,1,2,65767
43,1,1,1,009,4,1,3,3,0,1,3,65768
44,0,0,1,009,12,1,0,4,0,1,3,65769
45,1,1,1,028,6,1,3,2,0,3,3,65771
46,1,2,2,028,11,1,3,1,1,1,2,65772
47,1,1,1,028,7,0,1,3,0,3,3,65773
48,1,0,2,028,48,0,3,2,1,2,2,65774
49,1,2,1,028,36,1,2,3,0,3,3,65775
50,1,3,2,028,29,1,2,2,0,3,3,65776
51,1,2,1,028,39,1,3,3,0,3,3,65777
52,0,3,3,028,42,1,3,1,0,2,3,65778
53,1,2,2,028,12,0,2,3,1,3,3,65779
54,1,1,2,028,13,1,2,2,0,2,2,65780
55,1,2,1,028,37,0,2,2,1,3,1,65781
56,1,2,2,028,17,1,3,1,0,3,1,65782
57,0,2,3,028,30,1,2,2,1,3,1,65783
58,1,1,1,028,3,0,4,3,1,1,1,65784
59,1,2,2,028,52,0,4,2,0,2,2,65785
60,1,2,1,028,15,0,3,4,0,1,1,65786
61,1,4,2,028,71,0,1,2,0,1,1,65787
62,1,2,1,028,13,1,1,2,0,1,1,65788
63,1,3,3,028,50,0,2,3,0,1,1,65789
64,0,3,2,028,11,0,2,3,0,3,3,65790
65,1,1,1,028,9,1,3,2,0,3,3,65791
66,1,3,2,028,44,1,3,2,1,2,3,65792
67,1,3,2,028,36,0,3,2,1,2,2,65793
68,1,0,1,028,13,1,1,3,1,2,3,65794
69,1,2,2,028,53,0,2,2,1,3,3,65795
70,1,3,3,028,20,1,4,1,1,2,2,65796
71,1,3,2,028,12,1,4,4,1,1,1,65797
72,0,2,3,028,5,0,4,2,0,3,3,65798
73,1,3,2,028,23,1,4,2,1,3,2,65799
74,1,2,1,028,33,1,3,1,0,3,3,65800
75,1,1,1,028,19,1,4,3,0,2,2,65801
76,1,2,2,028,28,1,4,3,0,2,2,65802
77,1,2,1,028,23,1,3,3,0,2,2,65803
78,1,2,2,028,12,1,2,2,1,2,2,65804
79,0,1,1,028,21,1,3,3,1,3,3,65805
80,1,1,1,205,2,0,2,2,1,1,1,65807
81,0,1,1,205,6,1,2,2,1,1,3,65808
82,0,1,0,205,7,0,2,2,1,3,4,65809
83,1,3,1,205,20,1,2,2,1,2,2,65810
84,1,3,2,205,12,1,3,2,0,1,1,65811
85,0,2,2,205,20,1,2,1,1,2,3,65812
86,1,1,1,205,24,1,3,0,1,3,3,65813
87,1,3,2,205,8,1,2,4,1,3,3,65814
88,1,3,1,205,21,1,2,2,1,3,3,65815
89,1,3,2,205,36,0,2,3,1,1,1,65816
90,1,1,1,205,11,0,3,3,0,3,3,65817
91,1,2,0,205,17,0,1,2,1,2,3,65818
92,1,1,1,205,28,1,3,2,0,1,1,65819
93,0,2,1,205,6,0,4,1,0,3,3,65820
94,0,2,2,205,10,0,2,3,1,2,2,65821
95,0,2,2,205,17,0,3,2,1,2,3,65822
96,1,2,1,205,13,0,2,2,1,2,2,65823
97,1,3,1,205,13,1,2,2,1,2,2,65824
98,1,1,1,205,7,0,3,2,1,1,3,65825
99,1,1,0,205,5,0,2,3,0,1,2,65826
100,0,1,2,205,9,1,1,1,0,2,2,65827
101,1,2,2,205,4,1,3,3,1,2,3,65828
102,1,3,3,205,22,0,2,2,0,2,1,65829
103,0,1,1,205,12,0,3,2,1,1,1,65830
104,1,3,2,205,21,1,2,2,1,2,2,65831
105,1,2,3,205,12,1,2,3,1,2,3,65832
106,1,2,2,205,21,1,3,3,1,2,2,65833
107,1,3,3,205,26,1,3,3,1,1,1,65834
108,1,3,2,205,16,1,2,2,1,2,2,65835
109,0,2,2,205,18,1,3,3,1,2,3,65836
110,0,1,1,205,3,1,2,4,0,2,3,65837
111,1,2,3,205,14,1,3,2,1,4,3,65838
112,1,2,2,205,9,1,4,4,1,2,2,65839
113,1,1,2,205,24,1,4,2,1,3,3,65840
114,0,1,1,205,2,1,4,2,0,2,2,65841
115,1,4,3,205,28,1,4,3,1,2,2,65842
116,0,1,2,205,32,1,3,2,0,3,3,65843
117,1,2,2,205,9,1,3,3,1,2,3,65844
118,1,2,1,205,21,1,3,3,1,2,2,65845
119,1,1,2,205,11,1,2,4,1,2,3,65846
120,1,2,1,205,6,1,1,2,1,3,3,65847
121,1,2,1,205,9,0,2,3,1,2,2,65848
122,1,3,2,205,26,0,3,2,1,2,3,65849
123,1,2,3,205,20,0,4,3,1,2,3,65850
124,1,1,2,205,8,1,3,1,1,2,3,65851
125,1,1,1,205,10,1,3,3,1,3,3,65852
126,0,1,1,205,3,1,4,2,1,3,4,65853
127,1,2,2,205,6,1,1,2,1,2,3,65854
128,1,3,3,205,12,1,2,3,1,2,2,65855
129,0,3,3,205,5,0,3,2,1,2,3,65856
130,0,2,2,205,11,0,3,3,1,2,3,65857
131,1,3,1,205,31,0,1,3,0,2,2,65858
132,0,2,2,205,6,0,3,3,1,2,4,65859
133,0,3,3,205,10,1,3,3,1,2,3,65860
134,1,0,2,205,12,0,2,3,1,3,3,65861
135,1,2,2,205,22,1,3,3,1,3,3,65862
136,1,2,1,205,24,1,1,3,0,3,3,65863
137,1,1,1,205,13,1,1,3,1,3,3,65864
138,1,3,3,205,7,1,3,3,1,2,3,65865
139,0,3,2,205,10,1,2,2,1,3,3,65866
140,1,2,2,205,5,1,4,3,1,3,3,65867
141,1,2,1,205,13,1,3,3,0,3,3,65868
142,1,0,1,777,1,1,2,3,1,2,2,65870
143,1,3,2,777,40,1,3,3,1,3,3,65871
144,0,2,1,777,44,1,2,2,1,3,3,65872
145,0,3,2,777,8,0,3,3,1,2,2,65873
146,1,2,2,777,8,1,3,2,1,2,2,65874
147,1,2,2,777,18,0,3,2,1,2,3,65875
148,1,2,1,777,72,1,1,2,1,2,3,65876
149,0,2,1,777,109,1,3,1,1,3,3,65877
150,1,2,2,777,39,1,2,4,1,2,3,65878
151,1,2,2,777,31,1,3,4,1,2,2,65879
152,0,2,1,777,11,1,1,1,0,2,4,65880
