,5fd0c81fc79aef1882cbee94_comparison,5fd0c81fc79aef1882cbee94_int,5fd0c81fc79aef1882cbee94_expint,conversation_id,message_len,5f3e95436fa4350dadcfbfeb_comparison,5f3e95436fa4350dadcfbfeb_int,5f3e95436fa4350dadcfbfeb_expint,5d2d98a9a0d896001a5d6e4f_comparison,5d2d98a9a0d896001a5d6e4f_int,5d2d98a9a0d896001a5d6e4f_expint,doccano_id
0,1,0,0,777,1,1,1,1,1,2,3,65882
1,1,3,3,777,40,0,3,2,1,1,1,65883
2,0,1,2,777,44,0,2,2,1,1,1,65884
3,0,1,1,777,8,0,3,3,0,3,3,65885
4,1,1,1,777,8,0,3,3,0,3,3,65886
5,0,3,3,777,18,0,2,1,1,1,1,65887
6,1,2,3,777,72,0,2,1,1,1,1,65888
7,1,1,3,777,109,0,1,1,1,0,0,65889
8,1,3,2,777,39,0,2,2,1,0,0,65890
9,0,1,2,777,31,0,2,2,1,0,0,65891
10,1,1,1,777,11,1,2,2,1,1,1,65892
11,1,1,1,153,12,0,1,1,1,1,1,65894
12,1,1,2,153,7,0,4,4,0,2,1,65895
13,0,4,4,153,15,0,3,3,1,2,3,65896
14,0,4,4,153,16,0,4,4,0,2,3,65897
15,0,4,3,153,51,0,4,4,0,3,3,65898
16,0,4,4,153,17,1,3,3,0,2,2,65899
17,1,4,3,153,16,0,4,4,1,2,3,65900
18,1,4,4,153,11,1,2,2,0,2,2,65901
19,0,1,3,153,12,1,1,1,0,1,1,65902
20,0,3,2,153,12,1,2,2,0,1,2,65903
21,0,1,2,153,7,0,2,2,0,1,1,65904
22,1,3,3,153,9,0,2,3,0,2,3,65905
23,0,2,2,153,14,0,3,3,0,2,2,65906
24,1,3,3,153,34,1,3,3,0,2,2,65907
25,1,3,3,153,7,0,4,4,0,2,2,65908
26,0,2,4,153,6,1,3,4,0,2,2,65909
27,0,2,1,153,6,1,3,3,1,1,1,65910
28,1,2,1,153,10,1,4,4,0,1,1,65911
29,1,3,3,153,12,0,4,4,0,1,1,65912
30,0,4,2,153,12,1,3,3,0,2,2,65913
31,0,1,3,153,12,1,4,4,0,1,1,65914
32,0,1,2,153,12,1,2,2,0,1,1,65915
33,0,2,1,153,4,1,4,4,1,1,1,65916
34,0,3,2,153,12,1,4,4,0,1,1,65917
35,1,2,3,153,2,0,3,3,0,1,1,65918
36,1,3,2,153,2,0,3,3,1,1,1,65919
37,0,2,2,153,10,0,3,3,0,1,1,65920
38,0,3,3,153,12,1,3,3,0,1,1,65921
39,0,3,4,153,20,0,3,4,0,2,2,65922
40,0,3,3,153,8,1,3,3,0,2,3,65923
41,1,2,2,153,7,1,3,3,1,2,2,65924
